UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN02987,1959414009,59,1,G4009,4,82,088,41,1,,,1,2,,7,,,,,,114,138,2,,,,41,0927,,,,2021,4,,0426,4,1,,1960,1.0
60IN02988,1959414013,59,1,G4013,4,71,732,41,2,,,5,2,,2,,,,,,115,128,,,,,41,,,,,1162,4,,0886,4,1,,1960,1.0
60IN02989,1959414014,59,2,G4014,4,71,732,41,2,09,,,2,,2,1,,084,,,84,,,,094,,41,,094,2,,1162,4,   82,2,,1,,1960,1.0
60IN02990,1959414015,59,2,G4015,4,17,172,41,1,08,22,,2,,1,1,,080,,,80,118,,,085,,41,,090,3,,0556,4,   17,21,,1,,1960,1.0
60IN02991,1959414019,59,1,G4019,4,17,172,41,1,,06,5,2,,1,,,,,,128,171,,,,,41,,,,,0556,4,,8672,4,1,,1960,1.0
60IN02992,1959414023,59,1,G4023,4,16,162,41,1,,28,1,2,,1,,,,,,86,108,3,,,,41,1231,,,,0663,4,,1042,4,1,,1960,1.0
60IN02993,1959414025,59,1,G4025,4,17,172,41,1,,11,1,2,,1,,,,,,107,135,3,,,,41,0801,,,,0556,4,,0028,4,1,,1960,1.0
60IN02994,1959414026,59,2,G4026,4,16,162,41,1,09,17,,2,,1,1,,094,,,94,113,,,099,,41,,114,4,,0663,4,   16,21,,1,,1960,1.0
60IN02995,1959414027,59,1,G4027,4,18,182,41,1,,21,1,2,,1,,,,,,114,146,,,,,41,,,,,1179,4,,0781,4,1,,1960,1.0
60IN02996,1959414030,59,1,G4030,4,13,132,41,1,,13,3,2,,1,,,,,,112,130,,,,,41,,,,,2159,4,,7463,4,1,,1960,1.0
60IN02997,1959414032,59,2,G4032,4,18,182,41,1,09,14,,2,,1,1,,082,,,82,116,,,099,,41,,097,3,,1179,4,   18,2,,1,,1960,1.0
60IN02998,1959414034,59,2,G4034,4,70,712,41,2,07,,,2,,2,1,,081,,,81,137,,,083,,41,,116,2,,1743,4,   71,21,,1,,1960,1.0
60IN02999,1959414035,59,2,G4035,4,71,712,41,2,08,,,2,,2,1,,098,,,98,140,,,092,,41,,105,2,,1743,4,   80,2,,1,,1960,1.0
60IN03000,1959414036,59,2,G4036,4,17,172,41,1,07,14,,2,,1,1,,102,,,102,135,,,087,,41,,097,2,,0556,4,   17,2,,1,,1960,1.0
60IN03001,1959414037,59,1,G4037,4,17,172,41,1,,14,5,2,,1,,,,,,122,155,2,,,,41,0927,,,,0556,4,,9770,4,1,,1960,1.0
60IN03002,1959414039,59,2,G4039,4,13,132,41,1,08,18,,2,,1,1,,088,,,88,107,,,097,,41,,097,3,,2159,4,   13,11,,1,,1960,1.0
60IN03003,1959414042,59,1,G4042,4,12,122,41,1,,15,5,2,,1,,,,,,113,140,2,,,,41,0927,,,,0569,4,,6438,4,1,,1960,1.0
60IN03004,1959414043,59,1,G4043,4,12,122,41,1,,15,5,2,,1,,,,,,108,124,3,,,,41,0801,,,,0569,4,,6438,4,1,,1960,1.0
60IN03005,1959414044,59,2,G4044,4,71,722,41,2,08,,,2,,2,1,,103,,,103,124,,,090,,41,,112,2,,9993,4,   88,2,,1,,1960,1.0
