UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02322,1989634040,K4040,63,89,2,60,1,06,603,296363,227163,,,,,,, 0,000,1,,5,120,161, 1,B,,,,,,613,3,,1,10,,1990
90IN02323,1989634042,K4042,63,89,1,61,1,06,614,364563,120363,,,,,,,,,3,,Y,183,212,,V,,,93,0814,,,,,,10,Light Grfl,1990
90IN02324,1989634043,K4043,63,89,2,68,1,06,604,272663,299563,,,,,,, 1,082,1,,2,152,166, 2,A,,,,,,631,4,,1,10,,1990
90IN02325,1989634045,K4045,63,89,2,61,1,06,611,351563,251463,,,,,,, 3,088,1,,2,118,135, 2,B,,,,,,632,4,,1,10,,1990
90IN02326,1989634046,K4046,63,89,2,61,1,06,C1,250463,360463,,,,,,, 1,083,1,,2,124,142, 2,B,,,,,,632,3,,1,10,,1990
90IN02327,1989034047,L4047,03,89,2,83,1,30,711,199903,808502,,,1,,,, 2,080,1,,1,123,139, 2,A,,,,,,332,3,,2,10,,1990
90IN02328,1989634049,K4049,63,89,2,63,1,06,634,271263,248263,,,,,,, 1,077,1,,1,138,151, 2,B,,,,,,611,3,,1,10,,1990
90IN02329,1989034049,L4049,03,89,2,83,1,30,704,052303,931202,,,1,0,0,0, 0,000,2,64,5,109,141, 1,B,,,92,0920,,,,,,10,,1990
90IN02330,1989634052,K4052,63,89,2,60,1,06,601,285463,188363,,,,,,, 1,033,1,,1,131,151, 1,A,,,,,,634,4,,1,10,,1990
90IN02331,1989034053,L4053,03,89,2,80,1,30,703,099003,054403,,,1,,,, 1,101,1,,1,126,145, 2,A,,,,,,304,3,,2,10,,1990
