UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00962,R4785,3.0,18,,23,1,0,170,1,W,1,.,.,07,5,157,6,172
06BR00963,R4788,3.0,18,THIN, 1,1,7,166,1,W,1,.,.,07,6,163,6,180
06BR00964,R4789,3.0,18,SUCK1SIDE,01,1,7,154,1,W,1,.,.,07,4,150,5,164
06BR00965,R4793,3.0,18,THIN, 7,1,0,178,1,W,1,.,.,07,7,173,7,185
06BR00966,R4796,3.0,18,, 3,1,0,167,2,W,1,.,.,07,5,154,5,170
06BR00967,R4799,3.0,18,PNEU.,18,1,0,157,2,W,1,.,.,07,5,154,6,158
06BR00968,R4773,3.0,18,,17,1,0,159,2,W,1,.,.,07,6,158,7,159
06BR00969,R4779,3.0,18,THIN,24,1,0,148,1,W,1,.,.,07,6,141,6,151
06BR00970,R5112,3.0,18,,28,1,7,163,2,W,1,.,.,07,6,163,6,169
06BR00971,R5109,3.0,18,,12,1,0,182,1,W,1,.,.,07,5,175,6,190
06BR00972,R5135,3.0,18,,28,1,7,166,2,W,1,.,.,07,6,167,6,182
06BR00973,R5142,3.0,18,,16,1,0,192,1,W,1,.,.,07,6,180,7,188
06BR00974,R5149,3.0,18,NICE LAMB,03,1,0,195,2,W,1,.,.,07,5,179,6,183
06BR00975,R5168,3.0,18,BIG NAVEL,13,1,0,184,1,W,1,.,.,07,5,177,6,175
06BR00976,R5169,3.0,18,HAIRY,09,1,7,153,2,W,1,.,.,07,5,159,6,167
06BR00977,R5128,3.0,18,ENTROPION, 4,1,7,188,1,W,1,.,.,07,7,171,7,171
06BR00978,R5185,3.0,18,,27,1,0,184,1,W,1,.,.,07,6,177,6,178
06BR00979,R5195,3.0,18,SMALL UDDER,08,1,0,194,2,W,1,.,.,07,6,172,6,181
06BR00980,R5192,3.0,18,,05,1,7,159,2,W,1,.,.,07,5,150,6,163
