UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00762,S1416,2.0,,.,46,2,,168,D,173,1008,W,1,,07,165,1113,160,0108
19BR00763,S1419,2.0,,.,42,2,0,185,2,177,1008,W,1,,07,182,1113,184,0108
19BR00764,S1425,2.0,,.,60,2,0,151,1,164,1008,W,1,,43,162,1113,179,0108
19BR00765,S1426,2.0,,H.LHToeWound,51,2,0,151,2,140,1008,W,1,,07,151,1113,153,0108
19BR00766,S1431,2.0,,PINK,53,2,0,185,1,182,1008,W,1,,07,183,1113,179,0108
19BR00767,S1435,2.0,,.,41,2,0,168,1,163,1008,W,1,,07,167,1113,177,0108
19BR00768,S1437,2.0,,H.VetFixEntRe,43,2,,162,2,158,1008,W,1,,07,161,1113,166,0108
19BR00769,S1443,2.0,,.,44,2,0,176,2,172,1008,W,1,,07,177,1113,179,0108
19BR00770,S1452,2.0,,.,46,2,0,149,1,146,1008,W,1,,07,149,1113,172,0108
19BR00771,S1471,2.0,,LameLFTx,43,2,0,178,2,166,1008,W,1,,07,172,1113,189,0108
19BR00772,S1474,2.0,,.,53,2,,167,2,162,1008,W,1,,07,183,1113,187,0108
19BR00773,S1475,2.0,,.,42,2,0,169,1,158,1008,W,1,,07,164,1113,173,0108
19BR00774,S1495,2.0,,1ST,48,2,0,176,1,174,1008,W,1,,07,174,1113,179,0108
19BR00775,S1496,2.0,,.,48,2,0,158,2,166,1008,W,1,,07,160,1113,176,0108
19BR00776,S1513,1.0,,.,41,2,,178,2,172,1008,W,1,,07,184,1113,195,0108
19BR00777,S1517,1.0,,RHLame,49,2,0,172,D,171,1008,W,1,,07,172,1113,162,0108
19BR00778,S1520,1.0,,.,51,2,0,155,H,144,1008,W,1,,07,160,1113,161,0108
19BR00779,S1522,1.0,,.,61,2,,164,D,162,1008,W,1,,43,176,1113,171,0108
19BR00780,S1535,1.0,,.,60,2,,154,D,149,1008,W,1,,42,164,1113,161,0108
19BR00781,S1542,1.0,,.,49,2,0,165,D,169,1008,W,1,,07,166,1113,167,0108
19BR00782,S1553,1.0,,1ST,59,2,0,152,1,152,1008,W,1,,42,150,1113,152,0108
19BR00783,S1555,1.0,,.,47,2,0,113,1,107,1010,W,1,,07,122,1113,130,0108
19BR00784,S1562,1.0,,2ND,59,2,0,161,D,146,1008,W,1,,07,157,1113,164,0108
19BR00785,S1564,1.0,,.,56,2,0,158,D,157,1008,W,1,,07,167,1113,164,0108
19BR00786,S1570,1.0,,.,43,2,,153,2,150,1008,W,1,,07,152,1113,164,0108
19BR00787,S1578,1.0,,.,60,2,0,127,1,129,1008,W,1,,42,128,1113,135,0108
19BR00788,S1586,1.0,,.,51,2,0,155,1,147,1008,W,1,,07,165,1113,160,0108
19BR00789,S1589,1.0,,.,46,2,0,177,2,172,1008,W,1,,07,174,1113,183,0108
19BR00790,S1590,1.0,,.,43,2,,139,1,135,1008,W,1,,07,153,1113,153,0108
19BR00791,S1594,1.0,,ScoursTx,63,2,0,120,1,120,1008,W,1,,42,132,1113,132,0108
19BR00792,S1598,1.0,,.,44,2,0,162,1,154,1008,W,1,,07,157,1113,172,0108
19BR00793,S1604,1.0,,.,50,2,0,160,2,154,1010,W,1,,42,171,1113,165,0108
19BR00794,S1608,1.0,,.,58,2,0,166,2,166,1008,W,1,,43,175,1113,169,0108
19BR00795,S1609,1.0,,.,61,2,0,145,2,143,1010,W,1,,42,155,1113,152,0108
19BR00796,S1623,1.0,,1ST,63,2,0,178,D,175,1008,W,1,,43,183,1113,183,0108
19BR00797,S1631,1.0,,.,49,2,0,134,2,131,1008,W,1,,07,130,1113,144,0108
19BR00798,S1635,1.0,,.,57,2,0,141,1,142,1008,W,1,,42,140,1113,149,0108
19BR00799,S1639,1.0,,.,58,2,0,146,2,144,1010,W,1,,42,167,1113,163,0108
19BR00800,S1646,1.0,,.,57,2,0,138,1,139,1008,W,1,,43,145,1113,156,0108
19BR00801,S1650,1.0,,.,42,2,0,143,2,129,1010,0,1,,07,141,1113,150,0108
19BR00802,S1651,1.0,,LameLH,43,2,0,131,2,132,1008,W,1,,07,136,1113,142,0108
19BR00803,S1655,1.0,,.,62,2,0,142,2,143,1008,W,1,,07,150,1113,157,0108
19BR00804,S1656,1.0,,.,41,2,0,130,1,130,1008,W,1,,42,136,1113,140,0108
19BR00805,S1660,1.0,,.,51,2,0,149,1,154,1008,W,1,,07,150,1113,157,0108
19BR00806,S1665,1.0,,.,59,2,0,124,1,124,1008,W,1,,42,128,1113,139,0108
19BR00807,S1669,1.0,,.,44,2,0,144,2,135,1008,W,1,,07,149,1113,164,0108
