UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00352,A1531,3.5,73,,43-,2,6,167,N,W
98BR00353,A1539,3.5,73,"X,NO BAG",X,X,6,0,N,*
98BR00354,A1544,3.5,73,,L-,3,6,0,N,*
98BR00355,A1546,3.5,73,,L-,3,6,0,N,*
98BR00356,A1563,3.5,73,,41-,2,6,0,N,W
98BR00357,A1592,3.5,73,,L-,3,6,0,N,*
98BR00358,A1574,3.5,73,"X,LUNGER",X,X,6,0,N,*
98BR00359,A1579,3.5,73,BRN SPT L EAR,L-,3,6,0,N,*
98BR00360,A1610,3.5,73,,L-,3,6,0,N,*
98BR00361,A1603,3.5,73,,L-,3,6,0,N,*
98BR00362,A1609,3.5,73,,42-,2,6,0,N,W
98BR00363,A1637,3.5,73,,L-,3,6,0,N,*
98BR00364,A1667,3.5,73,,L-,3,6,0,N,*
98BR00365,A1628,3.5,73,?PG NOT BRED,43-,2,6,0,N,W
98BR00366,A1629,3.5,73,,L-,3,6,0,N,*
98BR00367,A1690,3.5,73,Dry 9/22/97,45-,2,6,0,N,W
98BR00368,A1205,4.0,82,,31,2,0,161,N,W
98BR00369,A1206,4.0,73,,L-,3,6,0,N,*
98BR00370,A1207,4.0,73,,L-,3,6,0,N,*
98BR00371,A1234,4.0,81,,01,2,0,169,N,W
98BR00372,A1236,4.0,ch,,-0-,1,2,169,N,W
98BR00373,A1232,4.0,ch,,55,1,2,204,N,W
98BR00374,A1240,4.0,ch,BIG BAG,-0-,1,2,177,N,W
98BR00375,A1242,4.0,ch,,56,1,2,120,N,W
98BR00376,A1250,4.0,82,SM BAG,20,2,0,162,N,W
98BR00377,A1267,4.0,82,TAG&EAR GONE,21,2,0,149,N,W
98BR00378,A1229,4.0,ch,,-0-,1,2,156,N,W
98BR00379,A1280,4.0,ch,FAT,-0-,1,2,176,N,W
98BR00380,A1294,4.0,ch,CUT L. SHOULD,56,1,2,134,N,W
98BR00381,A1810,3.0,73,,L-,3,6,0,N,*
98BR00382,A1814,3.0,73,,41-,2,6,0,N,W
98BR00383,A1831,3.0,73,,L-,3,6,0,N,*
98BR00384,A1833,3.0,82,,21,2,0,155,N,W
98BR00385,A1839,3.0,73,,L-,3,6,0,N,*
98BR00386,A1840,3.0,73,URI,45-,2,6,172,N,W
98BR00387,A1850,3.0,73,,42-,2,6,0,N,W
98BR00388,A1855,3.0,81,,02,2,0,157,N,W
98BR00389,A1859,3.0,73,,L-,3,6,0,N,*
98BR00390,A1861,3.0,82,HARDBAG,22,2,0,153,N,W
98BR00391,A1828,3.0,82,THIN,20,2,0,147,N,W
98BR00392,A1893,3.0,73,,L-,3,6,0,N,*
98BR00393,A1899,3.0,73,BRITCHY,L-,3,6,0,N,*
98BR00394,A1916,3.0,82,NICE,23,2,0,151,N,W
98BR00395,A1918,3.0,81,DYSTOCIA97,01,2,0,187,N,W
98BR00396,A1903,3.0,81,,02,2,0,186,N,W
98BR00397,A1936,3.0,82,,27,2,0,174,N,W
98BR00398,A1965,3.0,73,4TEATS,41-,2,6,169,N,W
98BR00399,A1920,3.0,82,NICE,24,2,0,161,N,W
98BR00400,A1928,3.0,82,,26,2,0,152,N,W
98BR00401,A1927,3.0,82,ENTR,25,2,0,143,N,W
98BR00402,A1717,3.5,73,,L-,3,6,0,N,*
98BR00403,A1701,3.5,73,,L-,3,6,0,N,*
98BR00404,A1704,3.5,73,,L-,3,6,0,N,*
98BR00405,A1705,3.5,73,,44-,2,6,0,N,W
98BR00406,A1723,3.5,73,,L-,3,6,0,N,*
98BR00407,A1729,3.5,73,,L-,3,6,0,N,*
98BR00408,A1789,3.0,73,,44-,2,6,200,N,W
98BR00409,A1793,3.0,82,4TEATS,30,2,0,137,N,W
98BR00410,A1796,3.0,82,4TEATS,31,2,0,169,N,W
98BR00411,A1779,3.0,82,,29,2,0,181,N,W
98BR00412,A1000,4.0,ch,DYSTOCIA 95,57,1,2,190,N,W
98BR00413,A0120,5.0,82,,23,2,0,179,N,W
98BR00414,A0181,5.0,81,,03,2,0,194,N,W
98BR00415,A0187,5.0,82,,25,2,0,192,N,W
98BR00416,A0068,5.0,82,,24,2,0,163,N,W
98BR00417,A0317,4.5,73,,L-,3,6,0,N,*
98BR00418,A0332,4.5,73,,L-,3,6,0,N,*
98BR00419,A0354,4.5,72,FLT'S,L-,3,6,0,N,*
98BR00420,A0355,4.5,73,,41-,2,6,0,N,W
98BR00421,A0365,4.5,73,,L-,3,6,0,N,*
98BR00422,A0327,4.5,73,,L-,3,6,0,N,*
98BR00423,A0460,4.5,73,,L-,3,6,0,N,*
98BR00424,A0424,4.5,72,,L-,3,6,0,N,*
98BR00425,A0490,4.5,73,,L-,3,6,0,N,*
98BR00426,A0495,4.5,73,LAMBED1/21/96,L-,3,6,0,N,*
98BR00427,A0531,4.5,73,,L-,3,6,0,N,*
98BR00428,A0551,4.5,73,,L-,3,6,0,N,*
98BR00429,A0558,4.5,73,,L-,3,6,0,N,*
98BR00430,A0520,4.5,73,,L-,3,6,0,N,*
98BR00431,A0584,4.5,73,LTS,L-,3,6,0,N,*
98BR00432,A0570,4.5,73,,44-,2,6,192,N,W
98BR00433,A0603,4.5,72,,42-,2,6,172,N,W
98BR00434,A0686,4.0,81,TRY3 1998 yes,01,2,0,164,N,W
98BR00435,A0687,4.0,73,BIG TAG 6/20,44-,2,6,190,N,W
98BR00436,A0210,5.0,81,"LTS,BIG BAG",04,2,0,175,N,W
98BR00437,A0241,5.0,00,"BLACK,SM.BAG",01,2,1,199,N,W
98BR00438,A0255,4.5,73,,L-,3,7,156,N,*
