UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR01474,S3692,1.0,00,, 51,1,0,W
94BR01475,S3674,1.0,00,, 53,1,0,W
94BR01476,S3202,2.0,12,, 91,1,0,W
94BR01477,S3220,2.0,12,, 80,1,0,W
94BR01478,S3285,2.0,11,, 34,1,0,W
94BR01479,S3275,2.0,11,, 33,1,0,7
94BR01480,S3805,1.0,18,,CCz,1,0,W
94BR01481,S3808,1.0,00,, 52,1,0,W
94BR01482,S3835,1.0,10,, 24,1,0,W
94BR01483,S3840,1.0,18,LR LAME 94,CCz,1,0,W
94BR01484,S3846,1.0,11,, 34,1,0,W
94BR01485,S3848,1.0,12,, 83,1,0,W
94BR01486,S3868,1.0,13,ENTR, 42,1,0,W
94BR01487,S3869,1.0,18,ENTR,CCz,1,0,W
94BR01488,S3824,1.0,13,, 44,1,0,W
94BR01489,S3871,1.0,00,, 53,1,0,W
94BR01490,S3907,1.0,00,, 54,1,0,W
94BR01491,S3941,1.0,00,, 51,1,0,W
94BR01492,S3963,1.0,18,,  2,2,2,W
94BR01493,S3970,1.0,10,, 24,1,0,W
94BR01494,S3974,1.0,11,, 34,1,0,W
94BR01495,S3975,1.0,18,,CCz,1,0,W
94BR01496,S3714,1.0,00,, 53,1,0,W
94BR01497,S3702,1.0,00,, 54,1,0,W
94BR01498,S3736,1.0,18,,CCz,1,0,W
94BR01499,S3744,1.0,12,, 82,1,0,W
94BR01500,S3755,1.0,13,, 42,1,0,W
94BR01501,S3757,1.0,00,, 54,1,0,W
94BR01502,S3727,1.0,11,ENTR, 32,1,0,W
94BR01503,S3773,1.0,10,, 23,1,0,W
94BR01504,S3772,1.0,18,,CCz,1,0,W
94BR01505,S3778,1.0,11,, 33,1,0,W
94BR01506,S3779,1.0,13,, 43,1,0,W
94BR01507,S3000,2.0,11,, 33,1,0,W
94BR01508,S4117,1.0,00,, 52,1,0,W
94BR01509,S4136,1.0,12,, 84,1,0,W
94BR01510,S4145,1.0,13,, 43,1,0,W
94BR01511,S4172,1.0,18,,CCz,1,0,W
94BR01512,S4010,1.0,13,, 41,1,0,W
94BR01513,S4012,1.0,10,, 21,1,0,W
94BR01514,S4034,1.0,18,,  0,2,2,W
94BR01515,S4047,1.0,18,,  2,2,2,W
94BR01516,S4087,1.0,11,, 31,1,0,W
94BR01517,S4090,1.0,18,,CCz,1,0,W
94BR01518,S4313,0.6,18,,  0,2,2,W
94BR01519,S4302,0.6,18,,  2,2,2,W
94BR01520,S4337,0.6,18,,  2,2,2,W
94BR01521,S4353,0.6,18,,  0,2,2,W
94BR01522,S4363,0.6,18,,  2,2,2,W
94BR01523,S4366,0.6,18,,  0,2,2,W
94BR01524,S4384,0.6,18,,  0,2,2,W
94BR01525,S4387,0.6,18,,  2,2,2,W
94BR01526,S4379,0.6,18,BROWN LEGS,  2,2,2,W
94BR01527,S4300,0.6,18,,  2,2,2,W
94BR01528,S4210,1.0,13,, 41,1,0,W
94BR01529,S4202,1.0,18,,  0,2,2,W
94BR01530,S4239,1.0,10,, 22,1,0,W
94BR01531,S4248,1.0,11,, 32,1,0,W
