UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00353,L2937,2.0,,1ST,23,1,0,167,3.0,H,164,1010,W,1,,PC,174,1115,3.5,185,1228,4.0
23BR00354,L2939,2.0,A,.,26,1,,188,3.5,H,189,1010,W,1,,PC,202,1115,4.0,215,1228,4.0
23BR00355,L2945,2.0,A,.,16,1,0,231,4.5,H,231,1010,W,1,,PC,241,1115,4.5,248,1228,4.0
23BR00356,L2946,2.0,A,.,24,1,0,178,3.5,H,182,1011,W,1,,PC,191,1115,4.0,201,1228,4.0
23BR00357,L2948,2.0,,.,19,1,,178,3.5,H,185,1010,W,1,,PC,189,1115,3.5,206,1228,4.0
23BR00358,L2949,2.0,A,.,27,1,0,162,3.5,H,,,0,6,10,PC,,,,,,
23BR00359,L2950,2.0,,.,28,1,,165,3.0,H,164,1010,W,1,,PC,174,1115,4.0,189,1228,4.0
23BR00360,L2960,2.0,,.,18,1,0,176,3.5,H,189,1011,W,1,,PC,188,1115,3.5,201,1228,4.0
23BR00361,L2975,2.0,,1ST,29,1,0,172,3.5,H,169,1011,W,1,,PC,175,1115,3.0,190,1228,4.0
23BR00362,L2976,2.0,,2ND,30,1,0,196,3.5,H,176,1010,W,1,,PC,194,1115,3.5,207,1228,4.0
23BR00363,L2980,2.0,,.,22,1,0,201,3.5,H,190,1010,W,1,,PC,202,1115,4.0,198,1228,4.0
23BR00364,L2982,2.0,,.,15,1,0,167,3.5,H,182,1011,W,1,,PC,187,1115,3.5,210,1228,4.0
23BR00365,L2992,2.0,,.,17,1,0,231,4.5,H,232,1011,W,1,,PC,246,1115,4.5,242,1228,4.5
23BR00366,L2995,2.0,,.,16,1,0,204,3.5,H,195,1010,W,1,,PC,204,1115,3.5,217,1228,4.0
23BR00367,L2996,2.0,,.,22,1,,179,3.5,H,172,1010,W,1,,PC,190,1115,3.5,208,1228,4.0
23BR00368,L3003,2.0,,.,28,1,,175,4.0,H,175,1011,W,1,,PC,175,1115,4.0,190,1228,4.5
23BR00369,L3008,2.0,,.,25,1,0,184,4.0,H,179,1010,W,1,,PC,189,1115,3.5,193,1228,4.0
23BR00370,L3009,2.0,,.,27,1,0,184,3.5,H,180,1011,W,1,,PC,200,1115,3.0,208,1228,4.0
23BR00371,L3020,2.0,,1ST,30,1,0,164,3.5,H,166,1010,W,1,,PC,176,1115,4.0,189,1228,4.0
23BR00372,L3023,2.0,,.,18,1,0,166,3.0,H,165,1010,W,1,,PC,178,1115,3.0,198,1228,4.0
23BR00373,L3036,2.0,,X LF NWB Lame,23,1,0,216,4.0,D,188,1010,W,3,93,PC,,,,,,
23BR00374,L3050,2.0,,.,19,1,0,143,3.5,H,136,1010,W,1,,PC,160,1115,3.5,167,1228,4.0
23BR00375,L3056,2.0,A,2ND,24,1,0,161,3.5,H,161,1010,W,1,,PC,175,1115,3.5,194,1228,4.0
23BR00376,L3058,2.0,A,2ND,21,1,0,160,3.0,H,154,1010,W,1,,PC,162,1115,4.0,188,1228,4.0
23BR00377,L3064,2.0,,.,20,1,0,161,3.5,H,155,1010,W,1,,PC,176,1115,4.0,191,1228,4.0
23BR00378,L3065,2.0,,.,26,1,0,134,3.0,H,134,1011,W,1,,PC,141,1115,3.0,147,1228,4.0
23BR00379,L3072,2.0,,1ST,29,1,0,168,3.5,H,158,1010,W,1,,PC,164,1115,3.5,188,1228,4.0
23BR00380,L3079,2.0,,.,15,1,0,169,3.5,H,169,1010,W,1,,PC,180,1115,3.5,200,1228,4.0
23BR00381,L3081,2.0,,LTS,25,1,,178,3.5,H,173,1010,W,1,,PC,180,1115,4.0,190,1228,3.5
23BR00382,L3087,2.0,,OKFORONE,16,1,0,184,4.0,H,174,1010,W,1,,PC,182,1115,4.0,195,1228,4.0
23BR00383,L3091,2.0,,.,17,1,0,184,3.5,H,179,1011,W,1,,PC,187,1115,4.5,208,1228,4.0
23BR00384,L3102,2.0,,.,24,1,0,213,3.5,H,199,1010,W,1,,PC,219,1115,4.0,244,1228,4.0
