UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00382,K4376,,4TEATS,,1,,104,e12,,,103,,1,06,
08EW00383,X7088,,.,,1,,112,e4,,,120,,5,T3,
08EW00384,R7324,,4TEATS,,1,,89,e14,,,85,,1,07,
08EW00385,H3794,,4TEATS,,1,,85,e22,,,92,,1,30,
08EW00386,X6864,,.,,1,,103,e2,,,106,,5,S3,
08EW00387,X6523,,E,,1,,96,e4,,,109,,5,T3,
08EW00388,H3924,,.,,1,,94,e24,,,97,,1,30,
08EW00389,K4338,,4 H,,1,,109,e3,,,100,,1,06,
08EW00390,H4537,,.,,1,,60,e18,,,61,,1,30,
08EW00391,T1974,,.,,1,,83,T1,,,98,,1,02,
08EW00392,T2337,,ALMOST.SMUTFC,,1,,88,T1,,,100,,4,02,
08EW00393,X6689,,.,,1,,105,e11,,,112,,1,TC,
08EW00394,T2084,,.,,1,,81,T3,,,85,,1,02,
08EW00395,T2092,,.,,1,,103,T1,,,112,,1,02,
08EW00396,X6288,,4TEATS,,1,,110,e7,,,122,,5,SC,
08EW00397,H4438,,.,,1,,80,e23,,,93,,1,30,
08EW00398,T2334,,.,,1,,91,T1,,,105,,1,02,
08EW00399,X6848,,E H,,1,,100,e6,,,108,,5,SC,
08EW00400,K4336,,4 H,,1,,114,e5,,,0,,1,06,
