UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00238,A8884,82,,79,1,none,69,e12,purple,69,79,0,1
01EW00239,A8887,81,,103,1,none,98,e14,purple,99,104,0,0
01EW00240,A8888,00,,0,1,none,91,e62,purple,102,118,0,1
01EW00241,A8890,00,,0,1,none,88,e63,purple,102,111,0,1
01EW00242,K1541,68,ENTR,110,1,none,134,e.9,purple,135,152,0,1
01EW00243,K1544,68,,119,1,none,115,e.8,purple,126,142,0,1
01EW00244,K1560,68,4TEATS,113,1,none,124,e10,purple,114,130,0,1
01EW00245,K1561,68,,97,1,none,104,e.9,purple,117,132,0,1
01EW00246,K1563,68,ENTR,101,1,none,111,e.9,purple,125,134,0,0
01EW00247,K1569,68,4TEATS,87,1,none,97,e10,purple,105,115,0,0
01EW00248,K1572,00,,0,1,none,115,e.8,purple,115,124,0,0
01EW00249,K1594,68,4TEATS,133,1,none,138,e10,purple,138,153,0,1
01EW00250,K1595,68,,93,1,none,108,e.9,purple,115,128,0,1
01EW00251,K1608,00,BRN.EARS,0,1,none,109,e.8,purple,99,109,0,1
01EW00252,K1616,00,NICE,0,1,none,105,e.9,purple,114,126,0,0
01EW00253,K1627,68,4TEATS,109,1,none,132,e10,purple,133,139,0,1
01EW00254,K1635,68,,110,1,none,115,e.8,purple,118,130,0,1
01EW00255,K1638,68,,101,1,none,104,e10,purple,112,118,0,0
01EW00256,K1641,68,PINTO EWE,86,1,none,102,e.9,purple,99,110,0,0
01EW00257,K1643,00,,0,1,none,115,e.8,purple,126,136,0,1
01EW00258,K1647,00,,0,1,none,122,e.9,purple,117,127,0,1
01EW00259,K1652,68,,110,1,none,108,e10,purple,105,118,0,1
01EW00260,K1654,68,ENTR,100,1,none,120,e.9,purple,121,135,0,0
01EW00261,K1655,68,,99,1,none,100,e.8,purple,107,118,0,0
01EW00262,K1656,68,,92,1,none,88,e.8,purple,95,107,0,0
01EW00263,K1657,68,,114,1,none,120,e10,purple,129,141,0,1
01EW00264,K1659,68,,97,1,none,95,e.9,purple,107,115,0,1
01EW00265,K1661,00,B1 lamb in B2,0,1,none,96,e.9,purple,94,103,0,0
01EW00266,K1662,68,,113,1,none,120,e10,purple,129,136,0,1
01EW00267,K1663,68,HAIRY <?,108,1,none,117,e.9,purple,129,151,0,1
01EW00268,K1679,68,WEAK,104,1,none,98,e10,purple,106,116,0,1
01EW00269,K1680,68,WEAK,106,1,none,105,e10,purple,113,121,0,1
01EW00270,K1690,00,UMBILIC.EDEMA,0,1,none,124,e.8,purple,121,124,0,1
01EW00271,K1696,68,,107,1,none,89,e.8,purple,94,103,0,0
