UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN03297, 83944926,83,94,4926,2,46,52,464,3,1,6,2, 20,2,2,9,96,128,21,84,70,481, 5, 3, 9, 7, 48,  0,5,6,3,1,1,0,227,1394,92,,  0,,3367,94,1735,94,8,66,517,44,2,86,92,069
83WN03298, 83944927,83,94,4927,2,46,52,464,2,1,3,2, 40,4,4,1,96,131,24,81,76,518, 4, 3, 8, 7, 54,  0,5,7,2,1,1,170,183,1040,92,,  0,,3367,94,7229,93,8,70,521,46,2,85,90,069
83WN03299, 83944928,83,94,4928,2,31,31,711,1,1,1,1, 20,2,2,1,96,131,16,125,101,676, 8, 3, 8, 6, 55,  0,5,7,2,1,1,165,153,902,92,,  0,,3076,02,3804,19,4,94,617,10,2,100,104,039
83WN03300, 83944929,83,94,4929,2,31,31,714,2,2,5,5, 50,5,4,1,96,131,14,107,85,567, 5, 3, 9, 7, 51,  0,5,7,2,1,1,173,168,962,92,,  0,,3069,02,1879,19,4,79,583,11,2,88,99,040
83WN03301, 83944930,83,94,4930,2,31,31,714,2,2,5,5, 50,5,4,1,96,131,3,104,70,455, 3, 3,12, 7, 58,  0,6,7,2,1,1,172,168,962,92,,  0,,3069,02,1879,19,4,65,465,11,2,75,75,041
83WN03302, 83944931,83,94,4931,2,44,52,002,2,2,5,7, 80,8,5,1,96,131,12,99,84,566, 5, 3, 8, 7, 69,  0,6,7,2,1,1,187,184,1107,,,  0,,4515,95,0123,43,8,78,592,48,,89,92,
83WN03303, 83944932,83,94,4932,1,44,52,002,2,2,5,3, 80,8,5,1,96,131,19,134,103,684, 5, 3,10, 8, 73,300,7,8,1,1,2,201,184,1107,93,,  0,,4515,95,0123,43,8,95,639,48,3,110,0,
83WN03304, 83944933,83,94,4933,1,44,52,004,2,1,4,2, 80,8,5,9,96,128,23,88,46,291, 5, 4,11,11, 31,171,6,7,5,1,1,0,157,879,93,,  0,,4881,95,0638,43,8,44,271,48,3,49,0,
83WN03305, 83944934,83,94,4934,1,44,52,004,2,1,3,2, 80,8,5,1,96,131,22,89,80,543, 4, 3, 9, 8, 49,278,6,7,1,1,2,166,157,879,93,06,  0,,4881,95,0638,43,8,74,474,48,3,89,0,
83WN03306, 83944935,83,94,4935,3,67,56,673,1,1,1,1, 20,2,2,1,96,131,6,134,88,569, 9, 4, 9, 7, 55,  0,5,7,3,1,1,149,184,1109,93,,  0,,3395,94,0959,94,8,82,521,67,3,0,0,
83WN03307, 83944936,83,94,4936,2,16,51,163,3,1,7,2, 30,3,3,4,96,128,14,75,71,496, 5, 4, 9, 8, 68,  0,6,7,2,1,1,177,225,1222,,,  0,,3592,94,9743,93,8,67,520,16,,78,78,
83WN03308, 83944937,83,94,4937,1,16,51,163,3,2,8,5, 30,3,3,1,96,131,6,101,88,595, 5, 3,10, 9, 64,288,6,7,1,1,4,185,225,1222,,,  0,,3592,94,9743,93,8,81,550,16,1,99,0,
83WN03309, 83944938,83,94,4938,1,16,51,163,3,2,8,5, 30,3,3,1,96,131,17,92,83,563, 4, 3, 9, 8, 51,280,6,7,2,1,4,174,225,1222,,,  0,,3592,94,9743,93,8,77,523,16,1,92,0,
83WN03310, 83944939,83,94,4939,2,45,55,441,1,1,1,1, 80,8,5,1,96,131,23,105,85,569, 5, 3, 9, 8, 54,  0,6,7,2,1,1,168,157,873,,,  0,,2970,94,0045,43,8,79,518,48,,91,91,
83WN03311, 83944941,83,94,4941,2,45,55,441,2,1,3,2, 70,7,5,1,96,131,13,111,87,579, 5, 3, 9, 6, 58,  0,5,7,1,1,1,176,157,898,,,  0,,2970,94,1504,43,8,81,589,48,,91,90,
