UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00089,104050861,04,H0861,05,2,83,30,04P,5,1,2,3.0,3,3,1,92,216,124,16,9.8,0,83,0.59,81,1,1,,,0,W,.,e11,HAIRY,A9232,04,A8497,04,83,1,,,3,4,105,2.17,141.9,1,104,104,,0.057,
04WN00090,104050862,04,H0862,05,1,82,30,25P,8,2,2,3.0,3,3,1,92,216,124,25,9.9,0,80,0.565,78,1,1,5,,0,C,.,,"H5, X",A9911,04,A8404,04,82,3,04,254,5,5,87,2.03,116.4,3,85,,,0.047,
04WN00091,104050863,04,H0863,05,2,82,30,25P,8,2,2,3.0,3,3,1,92,216,124,6,8.7,0,87,0.631,84,1,1,,,0,C,.,e12,,A9911,04,A8404,04,82,1,,,5,5,95,2.03,116.4,1,95,101,,0.047,
04WN00092,104050864,04,H0864,05,2,82,30,13P,8,2,2,4.0,4,4,1,92,216,124,4,9.8,0,98,0.711,95,1,1,,,0,C,.,e12,,A9278,04,A7114,04,81,1,,,5,5,109,1.86,133.8,1,112,116,,0.067,
04WN00093,104050865,04,H0865,05,2,82,30,13P,8,2,2,4.0,4,4,1,92,216,124,18,11.4,0,71,0.481,69,1,1,,,0,C,.,,"UGLY, X",A9278,04,A7114,04,81,3,93,275,5,5,95,1.86,133.8,3,90,,,0.067,
04WN00094,104050866,04,H0866,05,1,82,30,23P,8,2,2,5.0,5,4,1,92,216,124,17,8.6,0,90,0.656,87,1,1,,,0,C,.,,SHAGGY,A9122,04,90597,09,88,3,93,259,5,5,102,2.37,140.4,3,107,,,0.05,
04WN00095,104050867,04,H0867,05,2,82,30,23P,8,2,2,5.0,5,4,1,92,216,124,23,7.4,0,78,0.569,76,1,1,,,0,C,.,e12,,A9122,04,90597,09,88,1,,,5,5,102,2.37,140.4,1,98,101,,0.05,
04WN00096,104050870,04,H0870,05,2,83,30,02P,8,2,1,3.0,3,3,1,92,216,124,13,7.8,0,86,0.631,83,1,1,,,0,W,.,,"X, HAIRY",A8647,04,A8393,04,81,3,93,275,3,2,95,2.17,117.3,3,103,,,0.063,
04WN00097,104050871,04,H0871,05,2,83,30,01P,8,2,2,2.0,2,2,1,92,216,124,25,8.6,0,78,0.56,76,1,1,,,0,W,.,e12,,A7284,04,A9715,04,81,1,,,5,5,101,2.07,138.6,1,94,94,,0.061,
04WN00098,104050872,04,H0872,05,3,83,30,01P,8,2,2,2.0,2,2,1,92,216,124,23,7.5,0,84,0.617,82,1,1,,,0,W,.,,,A7284,04,A9715,04,81,3,93,275,5,5,0,2.07,138.6,3,90,,,0.061,
04WN00099,104050873,04,H0873,05,2,83,30,03P,8,2,1,3.0,3,3,1,92,216,124,8,9.3,0,97,0.707,94,1,1,,,0,W,.,e10,4TEATS,A7199,04,A8670,04,83,1,,,3,2,110,2.17,137.2,1,110,116,,0.044,
