UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00238,79192403,79,2,2403,19,1,11,112,0523,,5,2,2,65,125,1,1,,2,63,07,03,10,09,032,16,2,3,164,9,19,1172,19,427,896,6,2,142,96,92,2,5,,2,2
79WN00239,79192404,79,2,2404,19,1,11,112,0523,,5,2,2,65,125,1,1,,2,46,07,03,11,11,028,18,2,4,164,9,19,1172,19,293,896,6,2,128,94,92,2,5,,2,2
79WN00240,79192405,79,1,2405,19,1,13,131,8931,182,5,4,4,65,125,1,4,,2,69,06,03,10,07,040,3,3,5,177,9,18,1226,19,470,924,6,2,153,103,,4,5,,2,2
79WN00241,79192406,79,1,2406,19,1,13,131,8931,195,5,4,4,65,125,1,2,,2,72,05,03,10,08,029,5,2,3,177,9,18,1226,19,506,924,6,2,156,88,15,4,5,,2,2
79WN00242,79192407,79,2,2407,19,1,13,131,0007,,3,3,3,65,125,1,1,,2,82,07,03,08,07,043,16,2,4,161,9,19,1226,19,542,887,6,2,165,142,,3,5,,1,2
79WN00243,79192408,79,2,2408,19,1,12,800,9134,,3,4,4,65,125,1,1,,1,64,10,03,10,08,041,8,1,2,177,9,18,0410,19,438,850,3,2,123,92,,4,2,,2,1
79WN00244,79192410,79,1,2410,19,1,10,101,9338,212,5,4,4,65,125,1,4,,1,79,08,03,09,09,028,14,1,2,163,9,18,0567,19,549,971,2,2,151,104,,4,5,,2,2
79WN00245,79192411,79,1,2411,19,1,10,101,9338,114,5,4,4,65,125,1,1,,1,61,08,03,11,10,025,18,3,4,163,9,18,0567,19,390,971,2,2,134,122,,4,5,,2,2
79WN00246,79192412,79,1,2412,19,1,10,102,0873,143,1,2,2,65,125,1,1,,1,68,05,05,10,08,033,16,1,2,154,9,19,0464,19,464,790,2,2,133,100,,2,1,,1,1
79WN00247,79192413,79,1,2413,19,1,10,104,8170,234,1,5,5,66,126,1,2,,1,66,06,03,10,08,038,10,4,5,156,9,18,0421,19,429,752,2,3,140,120,93,4,1,,1,1
79WN00248,79192414,79,2,2414,19,1,10,101,8088,,5,5,5,65,125,1,1,,1,69,06,03,10,07,025,10,2,2,169,9,18,0567,19,463,974,2,2,140,111,,4,5,,2,2
79WN00249,79192415,79,1,2415,19,1,10,101,8088,120,5,5,5,65,125,1,2,,1,69,11,03,11,09,024,4,3,4,169,9,18,0567,19,463,974,2,2,122,111,93,4,5,,2,2
