UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01331,S3759,2022-02-10,41,50.0,110,,50,5.0
22SH01332,S3760,2022-02-10,41,54.0,119,,50,5.0
22SH01333,S3761,2022-02-10,41,63.5,140,,70,7.0
22SH01334,S3769,2022-02-10,41,63.0,139,,80,8.0
22SH01335,S3770,2022-02-10,41,64.0,141,,70,7.0
22SH01336,S3783,2022-02-10,41,73.5,162,,60,6.0
22SH01337,S3789,2022-02-10,41,63.5,140,,50,5.0
22SH01338,S3794,2022-02-10,41,68.0,150,,60,6.0
22SH01339,S3795,2022-02-11,42,82.0,180,,80,8.0
22SH01340,S3807,2022-02-10,41,66.0,145,,70,7.0
22SH01341,S3812,2022-02-10,41,62.0,136,,80,8.0
22SH01342,S3815,2022-02-10,41,69.0,152,,80,8.0
22SH01343,S3820,2022-02-10,41,67.0,147,,60,6.0
22SH01344,S3821,2022-02-10,41,73.0,161,,80,8.0
22SH01345,S3825,2022-02-10,41,55.0,121,,60,6.0
22SH01346,S3835,2022-02-10,41,59.5,131,,80,8.0
22SH01347,S3854,2022-02-10,41,64.0,141,,50,5.0
22SH01348,S3855,2022-02-10,41,63.5,140,,80,8.0
22SH01349,T5859,2022-02-10,41,96.5,212,4.0,120,12.0
22SH01350,T6020,2022-02-10,41,104.5,230,4.5,110,11.0
22SH01351,T6034,2022-02-10,41,96.5,212,4.0,110,11.0
22SH01352,T6083,2022-02-10,41,100.0,220,4.5,110,11.0
22SH01353,T6181,2022-02-10,41,102.5,226,4.5,110,11.0
22SH01354,T6239,2022-02-10,41,116.0,255,4.5,100,10.0
22SH01355,T6310,2022-02-10,41,105.5,232,4.5,100,10.0
22SH01356,T6321,2022-02-10,41,101.5,223,4.5,80,8.0
22SH01357,T6328,2022-02-10,41,87.5,193,4.5,60,6.0
22SH01358,T6355,2022-02-10,41,110.0,242,4.5,110,11.0
22SH01359,T6366,2022-02-10,41,116.0,255,5.0,100,10.0
22SH01360,T6387,2022-02-10,41,119.5,263,4.5,100,10.0
22SH01361,T6397,2022-02-10,41,101.5,223,4.0,110,11.0
22SH01362,T6413,2022-02-10,41,109.5,241,4.5,130,13.0
22SH01363,T6428,2022-02-10,41,103.5,228,5.0,90,9.0
