UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00232,A1025,2021-02-11,84,185,60,6.0,YA
21SH00233,A1026,2021-02-11,83,182,70,7.0,YA
21SH00234,A1027,2021-02-11,57,125,50,5.0,YA
21SH00235,A1029,2021-02-11,70,153,60,6.0,YA
21SH00236,A1039,2021-02-11,70,153,60,6.0,YA
21SH00237,A1042,2021-02-11,66,145,60,6.0,YA
21SH00238,A1043,2021-02-11,70,153,50,5.0,YA
21SH00239,A1044,2021-02-11,60,132,50,5.0,YA
21SH00240,A1046,2021-02-11,85,186,60,6.0,YA
21SH00241,A1050,2021-02-11,62,136,80,8.0,YA
21SH00242,H8492,2021-02-10,94,207,80,8.0,A2
21SH00243,H8511,2021-02-10,86,188,60,6.0,A4
21SH00244,H8519,2021-02-10,84,185,50,5.0,A2
21SH00245,H8524,2021-02-10,99,218,70,7.0,A4
21SH00246,H8571,2021-02-10,101,222,110,11.0,A
21SH00247,H8601,2021-02-10,88,194,50,5.0,A2
21SH00248,H8602,2021-02-10,63,138,90,9.0,A4
21SH00249,H8694,2021-02-10,95,209,130,13.0,A4
21SH00250,H8709,2021-02-10,89,196,90,9.0,A
21SH00251,H8760,2021-02-10,99,217,90,9.0,A2
21SH00252,H8874,2021-02-10,99,218,60,6.0,A4
21SH00253,H8908,2021-02-10,102,223,80,8.0,A4
21SH00254,H8909,2021-02-10,97,213,70,7.0,A2
21SH00255,H8927,2021-02-10,110,241,90,9.0,A2
21SH00256,H8931,2021-02-10,103,227,110,11.0,A4
21SH00257,H8933,2021-02-10,108,238,80,8.0,A2
21SH00258,H8955,2021-02-10,112,246,80,8.0,A4
21SH00259,H8958,2021-02-10,102,224,70,7.0,A4
21SH00260,H9007,2021-02-10,98,215,80,8.0,A2
21SH00261,H9055,2021-02-10,97,212,80,8.0,A
21SH00262,H9094,2021-02-10,112,246,100,10.0,A
21SH00263,H9134,2021-02-10,96,210,100,10.0,A2
21SH00264,H9149,2021-02-10,111,243,90,9.0,A2
21SH00265,H9167,2021-02-10,95,208,70,7.0,A2
21SH00266,H9194,2021-02-10,101,222,110,11.0,A4
21SH00267,H9221,2021-02-10,102,224,60,6.0,A2
21SH00268,H9229,2021-02-10,110,242,90,9.0,A
21SH00269,H9232,2021-02-10,109,240,90,9.0,A
21SH00270,H9237,2021-02-10,104,228,90,9.0,A4
21SH00271,H9240,2021-02-10,101,222,70,7.0,A4
21SH00272,H9299,2021-02-10,105,230,70,7.0,A2
21SH00273,H9306,2021-02-10,117,257,110,11.0,A4
21SH00274,H9310,2021-02-10,97,213,120,12.0,A
21SH00275,H9317,2021-02-10,113,248,70,7.0,A2
21SH00276,H9322,2021-02-10,104,229,80,8.0,A2
21SH00277,H9325,2021-02-10,84,184,100,10.0,A4
21SH00278,H9341,2021-02-10,91,199,100,10.0,A4
21SH00279,H9359,2021-02-10,88,193,60,6.0,A2
21SH00280,H9380,2021-02-10,102,223,70,7.0,A
21SH00281,H9393,2021-02-10,80,176,80,8.0,A4
21SH00282,H9403,2021-02-10,106,232,90,9.0,A4
21SH00283,H9419,2021-02-10,110,242,100,10.0,A4
21SH00284,H9436,2021-02-10,103,227,80,8.0,A4
21SH00285,H9439,2021-02-10,95,209,80,8.0,A2
21SH00286,H9448,2021-02-10,108,238,80,8.0,A4
21SH00287,H9465,2021-02-10,88,193,90,9.0,A
21SH00288,H9482,2021-02-10,93,205,60,6.0,A2
21SH00289,H9497,2021-02-10,101,222,70,7.0,A2
21SH00290,H9501,2021-02-10,89,196,100,10.0,A4
21SH00291,H9504,2021-02-10,99,218,90,9.0,A4
21SH00292,H9525,2021-02-10,93,205,90,9.0,A4
21SH00293,H9537,2021-02-10,81,178,70,7.0,A
21SH00294,H9548,2021-02-10,101,222,80,8.0,A4
21SH00295,H9549,2021-02-11,65,142,90,9.0,A4
21SH00296,H9551,2021-02-10,106,233,80,8.0,A4
21SH00297,H9553,2021-02-10,104,229,80,8.0,A4
21SH00298,H9584,2021-02-11,93,205,80,8.0,A
21SH00299,H9598,2021-02-11,106,232,80,8.0,A
21SH00300,H9614,2021-02-11,103,227,70,7.0,A2
21SH00301,H9647,2021-02-11,106,233,80,8.0,A2
21SH00302,H9648,2021-02-11,98,215,60,6.0,A2
21SH00303,H9663,2021-02-11,116,255,100,10.0,A
21SH00304,H9677,2021-02-11,96,211,70,7.0,A2
21SH00305,H9692,2021-02-11,102,224,100,10.0,A4
