UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH01367,R9841,1,0,5.4,54,,50,07,Yrlng Ram,0,
14SH01368,H8130,1,0,7.6,76,,50,30,Yrlng Ram,0,
14SH01369,R9838,1,0,5.4,54,,50,07,Yrlng Ram,0,
14SH01370,K4962,1,0,7.6,76,,50,06,Yrlng Ram,0,
14SH01371,T4950,1,0,8.2,82,,50,02,Yrlng Ram,0,
14SH01372,T5058,1,0,6.2,62,,50,02,Yrlng Ram,0,
14SH01373,K4952,1,0,6.2,62,,50,06,Yrlng Ram,0,
14SH01374,R9825,1,0,8.0,80,,50,07,Yrlng Ram,0,
14SH01375,K4960,1,0,5.6,56,,50,06,Yrlng Ram,0,
14SH01376,T4854,1,0,7.8,78,,50,02,Yrlng Ram,0,
14SH01377,T4965,1,0,6.0,60,,50,02,Yrlng Ram,0,
14SH01378,T4840,1,0,8.0,80,,50,02,Yrlng Ram,0,
14SH01379,K4939,1,0,7.2,72,,50,06,Yrlng Ram,0,
14SH01380,R9612,1,0,7.8,78,,50,07,Yrlng Ram,0,
14SH01381,K4995,1,0,5.2,52,,50,06,Yrlng Ram,0,
14SH01382,K4867,1,0,11.4,114,,50,06,Mature Ram,0,
14SH01383,H7783,1,0,6.8,68,,50,30,Mature Ram,0,
14SH01384,R9194,1,0,10.4,104,,50,07,Mature Ram,0,
14SH01385,R9554,1,0,13.8,138,,50,07,Mature Ram,0,
14SH01386,K4866,1,0,12.2,122,,50,06,Mature Ram,0,
14SH01387,Z0964,1,0,11.6,116,,50,CM,CM  Mature Ram,0,
14SH01388,H7479,1,0,9.6,96,,50,30,Mature Ram,0,
14SH01389,Z1226,1,0,9.6,96,,50,CM,CM  Mature Ram,0,
14SH01390,H7543,1,0,9.6,96,,50,30,Mature Ram,0,
14SH01391,T4552,1,0,13.2,132,,50,02,Mature Ram,0,
14SH01392,T4541,1,0,13.6,136,,50,02,Mature Ram,0,
14SH01393,T4422,1,0,12.8,128,,50,02,Mature Ram,0,
14SH01394,Z0002,1,0,15.6,156,,50,CM,CM  Mature Ram,0,
14SH01395,K4633,1,0,11.8,118,,50,06,Mature Ram,0,
14SH01396,Z1285,1,0,11.6,116,,50,CM,CM  Mature Ram,0,
14SH01397,T4366,1,0,12.0,120,,50,02,Mature Ram,0,
14SH01398,T4286,1,0,13.6,136,,50,02,Mature Ram,0,
14SH01399,T4641,1,0,14.6,146,,50,02,Mature Ram,0,
14SH01400,Z1178,1,0,9.8,98,,50,CS,CS  Mature Ram,0,
14SH01401,Z0078,2,0,12.6,126,,50,S3,S3  Band 1 Ewe,0,
14SH01402,Z1282,2,0,7.0,70,,50,C3,C3  Band 1 Ewe,0,
14SH01403,X5305,2,0,8.6,86,,50,TC,TC  Band 1 Ewe,0,
14SH01404,L1069,1,0,4.0,40,,50,PC,Yrlng Ram,0,
14SH01405,Z1543,1,0,4.0,40,,50,SC,SC  Yrlng Ram,0,
14SH01406,Z1559,1,0,6.6,66,,50,CS,CS  Yrlng Ram,0,
14SH01407,Z2066,1,0,5.4,54,,50,VAL,VAL Yrlng Ram,0,
14SH01408,Z1780,1,0,4.8,48,,50,SC,SC  Yrlng Ram,0,
14SH01409,Z1702,1,0,4.6,46,,50,CM,CM  Yrlng Ram,0,
14SH01410,L1288,1,0,8.0,80,,50,PC,Yrlng Ram,0,
14SH01411,Z1542,1,0,3.2,32,,50,SC,SC  Yrlng Ram,0,
14SH01412,Z1490,1,0,6.4,64,,50,CS,CS  Yrlng Ram,0,
14SH01413,Z1506,1,0,3.2,32,,50,SC,SC  Yrlng Ram,0,
