UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
17SH00458,L1573,7.8,78,47,PC,,3.0
17SH00459,L1578,7.4,74,47,PC,,3.0
17SH00460,L1588,7.8,78,47,PC,,3.0
17SH00461,L1592,7.2,72,47,PC,,3.0
17SH00462,L1599,8.6,86,47,PC,,3.0
17SH00463,L1600,10.4,104,47,PC,,3.0
17SH00464,L1603,10.2,102,47,PC,,3.0
17SH00465,L1604,5.6,56,47,PC,,3.0
17SH00466,L1609,6.2,62,47,PC,,3.0
17SH00467,L1615,6.8,68,47,PC,,3.0
17SH00468,L1616,8.0,80,47,PC,,3.0
17SH00469,L1623,8.2,82,47,PC,,3.0
17SH00470,L1640,9.4,94,47,PC,,2.0
17SH00471,L1642,6.6,66,47,PC,,2.0
17SH00472,L1645,5.8,58,47,PC,,2.0
17SH00473,L1652,5.6,56,47,PC,,2.0
17SH00474,L1654,8.4,84,47,PC,,2.0
17SH00475,L1657,8.2,82,47,PC,,2.0
17SH00476,L1658,8.8,88,47,PC,,2.0
17SH00477,L1661,10.2,102,47,PC,,2.0
17SH00478,L1662,7.2,72,47,PC,,2.0
17SH00479,L1665,10.4,104,47,PC,,2.0
17SH00480,L1666,7.8,78,47,PC,,2.0
17SH00481,L1670,7.4,74,47,PC,,2.0
17SH00482,L1673,8.6,86,47,PC,,2.0
17SH00483,L1676,6.8,68,47,PC,,2.0
17SH00484,L1686,8.4,84,47,PC,,2.0
17SH00485,L1690,5.8,58,47,PC,,2.0
17SH00486,L1692,5.8,58,47,PC,,2.0
17SH00487,L1697,6.2,62,47,PC,,2.0
17SH00488,L1701,9.8,98,47,PC,,2.0
17SH00489,L1706,10.6,106,47,PC,,2.0
17SH00490,L1707,9.6,96,47,PC,,2.0
17SH00491,L1711,6.0,60,47,PC,,2.0
17SH00492,L1717,9.4,94,47,PC,,2.0
17SH00493,L1719,6.6,66,47,PC,,2.0
17SH00494,L1721,10.6,106,47,PC,,2.0
17SH00495,L1732,6.0,60,47,PC,,2.0
