UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00228,2004643114,64,K3114,10.2,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00229,2004449798,44,T9798,9.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00230,2004050930,05,H0930,8.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00231,2004450031,45,T0031,7.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00232,2004051159,05,H1159,8.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00233,2004051179,05,H1179,5.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00234,2004114740,11,R4740,8.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00235,2004450152,45,T0152,9.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00236,2004449787,44,T9787,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00237,2004449796,44,T9796,8.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00238,2004051052,05,H1052,6.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00239,2004114319,11,R4319,8.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00240,2004114590,11,R4590,7.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00241,2004643116,64,K3116,8.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00242,2004051168,05,H1168,6.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00243,2004449854,44,T9854,7.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00244,2004051064,05,H1064,7.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00245,2004450023,45,T0023,9.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00246,2004051327,05,H1327,6.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00247,2004051311,05,H1311,5.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00248,2004050752,05,H0752,7.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00249,2004450037,45,T0037,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00250,2004051096,05,H1096,6.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00251,2004050756,05,H0756,7.2,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00252,2004114722,11,R4722,8.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00253,2004643165,64,K3165,10.8,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00254,2004114681,11,R4681,7.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00255,2004114766,11,R4766,8.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00256,2004050962,05,H0962,7.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00257,2004051315,05,H1315,5.0,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00258,2004449841,44,T9841,6.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00259,2004051063,05,H1063,7.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00260,2004051335,05,H1335,6.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00261,2004450212,45,T0212,6.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00262,2004114651,11,R4651,8.6,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00263,2004050805,05,H0805,6.7,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00264,2004114714,11,R4714,7.4,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00265,2004450068,45,T0068,7.2,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00266,2004114529,11,R4529,9.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00267,2004114360,11,R4360,9.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00268,2004051196,05,H1196,7.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00269,2004050816,05,H0816,6.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00270,2004449881,44,T9881,10.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00271,2004051280,05,H1280,7.4,58,5,1,2005-03-15,74,YRLG RAM,Y,
05SH00272,2004643098,64,K3098,10.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00273,2004643181,64,K3181,8.8,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00274,2004643057,64,K3057,9.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00275,2004114666,11,R4666,7.0,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00276,2004643002,64,K3002,9.0,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00277,2004643154,64,K3154,8.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00278,2004643067,64,K3067,7.8,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00279,2004114560,11,R4560,9.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00280,2004114566,11,R4566,8.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00281,2004114784,11,R4784,7.6,60,4,1,2005-03-15,74,YRLG RAM,Y,
05SH00282,2004114709,11,R4709,6.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00283,2004643132,64,K3132,9.4,60,4,1,2005-03-15,74,YRLG RAM,Y,
