original_id10,hx_id10,birth_year,breed,etag
1948112714,HX00001759,1948,11,2714
1948112715,HX00001760,1948,11,2715
1948112720,HX00001761,1948,11,2720
1948112721,HX00001762,1948,11,2721
1948112726,HX00001763,1948,11,2726
1948112728,HX00001764,1948,11,2728
1948112731,HX00001765,1948,11,2731
1948112738,HX00001766,1948,11,2738
1948112740,HX00001767,1948,11,2740
1948112744,HX00001768,1948,11,2744
1948112752,HX00001769,1948,11,2752
1948112756,HX00001770,1948,11,2756
1948139195,HX00001771,1948,13,9195
1948139198,HX00001772,1948,13,9198
1948139200,HX00001773,1948,13,9200
1948139202,HX00001774,1948,13,9202
1948139205,HX00001775,1948,13,9205
1948139215,HX00001776,1948,13,9215
1948139217,HX00001777,1948,13,9217
1948139224,HX00001778,1948,13,9224
1948139229,HX00001779,1948,13,9229
1948139230,HX00001780,1948,13,9230
1948139238,HX00001781,1948,13,9238
1948139240,HX00001782,1948,13,9240
1948139244,HX00001783,1948,13,9244
1948139245,HX00001784,1948,13,9245
1948139251,HX00001785,1948,13,9251
1948139252,HX00001786,1948,13,9252
1948139255,HX00001787,1948,13,9255
1948139257,HX00001788,1948,13,9257
1948139262,HX00001789,1948,13,9262
1948139263,HX00001790,1948,13,9263
1948139265,HX00001791,1948,13,9265
1948139266,HX00001792,1948,13,9266
1948139267,HX00001793,1948,13,9267
1948139268,HX00001794,1948,13,9268
1948139270,HX00001795,1948,13,9270
1948139276,HX00001796,1948,13,9276
1948139290,HX00001797,1948,13,9290
1948139292,HX00001798,1948,13,9292
1948139297,HX00001799,1948,13,9297
1948139298,HX00001800,1948,13,9298
1948139299,HX00001801,1948,13,9299
1948139302,HX00001802,1948,13,9302
1948139306,HX00001803,1948,13,9306
1948139309,HX00001804,1948,13,9309
1948139311,HX00001805,1948,13,9311
1948139313,HX00001806,1948,13,9313
1948139316,HX00001807,1948,13,9316
1948139320,HX00001808,1948,13,9320
1948139323,HX00001809,1948,13,9323
1948139329,HX00001810,1948,13,9329
1948139331,HX00001811,1948,13,9331
1948139332,HX00001812,1948,13,9332
1948139336,HX00001813,1948,13,9336
1948139344,HX00001814,1948,13,9344
1948139346,HX00001815,1948,13,9346
1948139347,HX00001816,1948,13,9347
1948139348,HX00001817,1948,13,9348
1948139354,HX00001818,1948,13,9354
1948139355,HX00001819,1948,13,9355
1948139359,HX00001820,1948,13,9359
1948139360,HX00001821,1948,13,9360
1948139361,HX00001822,1948,13,9361
1948139364,HX00001823,1948,13,9364
1948139365,HX00001824,1948,13,9365
1948139366,HX00001825,1948,13,9366
1948139368,HX00001826,1948,13,9368
1948139369,HX00001827,1948,13,9369
1948139371,HX00001828,1948,13,9371
1948139376,HX00001829,1948,13,9376
1948139378,HX00001830,1948,13,9378
1948139380,HX00001831,1948,13,9380
1948139386,HX00001832,1948,13,9386
1948139389,HX00001833,1948,13,9389
1948139391,HX00001834,1948,13,9391
1948139401,HX00001835,1948,13,9401
1948139405,HX00001836,1948,13,9405
1948139410,HX00001837,1948,13,9410
