UID,LAMB,SIRE,DAM,ID10,SIREID10,DAMID10,LAMB_YR,LAMB_BRD,LAMB_ETAG,SIRE_YR,SIRE_BRD,SIRE_ETAG,DAM_YR,DAM_BRD,DAM_ETAG
50PE00218,50113278,47112232,43111229,1950113278,1947112232,1943111229,50,11,3278,47,11,2232,43,11,1229
50PE00219,50113175,47112232,44111431,1950113175,1947112232,1944111431,50,11,3175,47,11,2232,44,11,1431
50PE00220,50113176,47112232,44111431,1950113176,1947112232,1944111431,50,11,3176,47,11,2232,44,11,1431
50PE00221,50113244,47112232,44111616,1950113244,1947112232,1944111616,50,11,3244,47,11,2232,44,11,1616
50PE00222,50113179,47112232,45111692,1950113179,1947112232,1945111692,50,11,3179,47,11,2232,45,11,1692
50PE00223,50113055,47112232,45111731,1950113055,1947112232,1945111731,50,11,3055,47,11,2232,45,11,1731
50PE00224,50113239,47112232,45111744,1950113239,1947112232,1945111744,50,11,3239,47,11,2232,45,11,1744
50PE00225,50113240,47112232,45111744,1950113240,1947112232,1945111744,50,11,3240,47,11,2232,45,11,1744
50PE00226,50113121,47112232,45111745,1950113121,1947112232,1945111745,50,11,3121,47,11,2232,45,11,1745
50PE00227,50113122,47112232,45111745,1950113122,1947112232,1945111745,50,11,3122,47,11,2232,45,11,1745
50PE00228,50113203,47112232,45111755,1950113203,1947112232,1945111755,50,11,3203,47,11,2232,45,11,1755
50PE00229,50113230,47112232,45111771,1950113230,1947112232,1945111771,50,11,3230,47,11,2232,45,11,1771
50PE00230,50113216,47112232,45111827,1950113216,1947112232,1945111827,50,11,3216,47,11,2232,45,11,1827
50PE00231,50113204,47112232,45111828,1950113204,1947112232,1945111828,50,11,3204,47,11,2232,45,11,1828
50PE00232,50113227,47112232,45111838,1950113227,1947112232,1945111838,50,11,3227,47,11,2232,45,11,1838
50PE00233,50113228,47112232,45111838,1950113228,1947112232,1945111838,50,11,3228,47,11,2232,45,11,1838
50PE00234,50113052,47112232,45111878,1950113052,1947112232,1945111878,50,11,3052,47,11,2232,45,11,1878
50PE00235,50113072,47112232,46111972,1950113072,1947112232,1946111972,50,11,3072,47,11,2232,46,11,1972
50PE00236,50113234,47112232,46112036,1950113234,1947112232,1946112036,50,11,3234,47,11,2232,46,11,2036
50PE00237,50113151,47112232,46112102,1950113151,1947112232,1946112102,50,11,3151,47,11,2232,46,11,2102
50PE00238,50113152,47112232,46112102,1950113152,1947112232,1946112102,50,11,3152,47,11,2232,46,11,2102
50PE00239,50113146,47112232,46112153,1950113146,1947112232,1946112153,50,11,3146,47,11,2232,46,11,2153
50PE00240,50113147,47112232,46112153,1950113147,1947112232,1946112153,50,11,3147,47,11,2232,46,11,2153
50PE00241,50113231,47112232,46112173,1950113231,1947112232,1946112173,50,11,3231,47,11,2232,46,11,2173
50PE00242,50113232,47112232,46112173,1950113232,1947112232,1946112173,50,11,3232,47,11,2232,46,11,2173
50PE00243,50113242,47112232,47112220,1950113242,1947112232,1947112220,50,11,3242,47,11,2232,47,11,2220
50PE00244,50113243,47112232,47112220,1950113243,1947112232,1947112220,50,11,3243,47,11,2232,47,11,2220
50PE00245,50113110,47112232,47112259,1950113110,1947112232,1947112259,50,11,3110,47,11,2232,47,11,2259
50PE00246,50113057,47112232,47112295,1950113057,1947112232,1947112295,50,11,3057,47,11,2232,47,11,2295
