UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
07PE00283,07,05,H3207,05,H1063,05,H2904,30,2007053207,2004051063,2006052904
07PE00284,07,05,H3208,05,H1063,05,H2450,30,2007053208,2004051063,2006052450
07PE00285,07,05,H3209,05,H2022,05,H2787,30,2007053209,2005052022,2006052787
07PE00286,07,05,H3210,05,H2022,05,H2787,30,2007053210,2005052022,2006052787
07PE00287,07,05,H3211,05,H1823,05,H1727,30,2007053211,2005051823,2005051727
07PE00288,07,05,H3212,05,H1823,05,H1727,30,2007053212,2005051823,2005051727
07PE00289,07,05,H3213,05,H1159,05,H0653,30,2007053213,2004051159,2003050653
07PE00290,07,05,H3214,05,H1159,05,H0653,30,2007053214,2004051159,2003050653
07PE00291,07,05,H3215,05,H1159,05,H0653,30,2007053215,2004051159,2003050653
07PE00292,07,05,H3216,05,H0596,05,H2879,30,2007053216,2003050596,2006052879
07PE00293,07,05,H3217,05,H0596,05,H2495,30,2007053217,2003050596,2006052495
07PE00294,07,05,H3218,05,H0596,05,H2495,30,2007053218,2003050596,2006052495
07PE00295,07,05,H3219,05,H1823,04,A9511,30,2007053219,2005051823,2002049511
07PE00296,07,05,H3220,05,H1823,04,A9511,30,2007053220,2005051823,2002049511
07PE00297,07,05,H3221,05,H1823,04,A9511,30,2007053221,2005051823,2002049511
07PE00298,07,05,H3222,05,H1852,05,P0027,30,2007053222,2005051852,2002050027
07PE00299,07,05,H3223,05,H1852,05,P0027,30,2007053223,2005051852,2002050027
07PE00300,07,05,H3224,05,H1852,05,P0027,30,2007053224,2005051852,2002050027
07PE00301,07,05,H3225,05,H1311,05,H1240,30,2007053225,2004051311,2004051240
07PE00302,07,05,H3226,05,H1852,05,H1564,30,2007053226,2005051852,2005051564
07PE00303,07,05,H3227,05,H1852,05,H1564,30,2007053227,2005051852,2005051564
07PE00304,07,05,H3228,05,H1914,05,H0892,30,2007053228,2005051914,2004050892
07PE00305,07,05,H3229,05,H1914,05,H0892,30,2007053229,2005051914,2004050892
07PE00306,07,05,H3230,05,H1914,05,H0892,30,2007053230,2005051914,2004050892
07PE00307,07,05,H3231,05,H1159,05,H1543,30,2007053231,2004051159,2005051543
07PE00308,07,05,H3232,05,H1159,05,H1543,30,2007053232,2004051159,2005051543
07PE00309,07,05,H3233,05,H2022,05,H2350,30,2007053233,2005052022,2006052350
07PE00310,07,05,H3234,05,H2022,05,H2350,30,2007053234,2005052022,2006052350
07PE00311,07,05,H3235,05,H0471,05,H1922,30,2007053235,2003050471,2005051922
07PE00312,07,05,H3236,05,H0471,05,H1922,30,2007053236,2003050471,2005051922
07PE00313,07,05,H3237,05,H1311,05,H1725,30,2007053237,2004051311,2005051725
07PE00314,07,05,H3238,05,H1311,05,H1725,30,2007053238,2004051311,2005051725
07PE00315,07,05,H3239,05,H1611,05,H2853,30,2007053239,2005051611,2006052853
07PE00316,07,05,H3240,05,H1611,05,H2853,30,2007053240,2005051611,2006052853
07PE00317,07,05,H3241,05,H0471,05,H2151,30,2007053241,2003050471,2005052151
07PE00318,07,05,H3242,05,H0471,05,H2151,30,2007053242,2003050471,2005052151
