UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03055,2009055021,H5021,05,H5021,09,2,,1,30,54,H3693,05,H0643,05,,,,1,,1,,103,135,2,,,,,66,2,1.0,,,,0,1,,0.044,,2010
10IN03056,2009827499,X7499,82,X7499,09,2,,1,SC,15,X3004,82,K3951,64,,,,1,,2,,137,179,2,,,,,16,1,1.0,,,,0,5,,0.0,,2010
10IN03057,2009827433,X7433,82,X7433,09,2,,1,SC,15,X3004,82,K3990,64,,,,1,,1,,132,180,1,,,,,15,1,1.0,,,,0,5,,0.0,,2010
10IN03058,2009827235,X7235,82,X7235,09,2,,1,SC,20, 8110,00,K3937,64,,,,1,,2,,106,157,2,,67,1220,,15,1,1.0,Skinny,,,0,5,,0.0,,2010
10IN03059,2009827425,X7425,82,X7425,09,2,,1,SC,17,  625,00,K3754,64,,,,1,,D,,145,193,1,,,,,15,1,1.0,,,,0,5,,0.0,,2010
10IN03060,2009827458,X7458,82,X7458,09,2,,1,SC,20, 8110,00,K3723,64,,,,1,,1,,119,149,2,,,,,16,1,1.0,,,,0,5,,0.0,,2010
10IN03061,2009827285,X7285,82,X7285,09,2,,1,SC,17,  625,00,K3656,64,,,,1,,2,,135,189,2,,,,,16,1,1.0,,,,0,5,,0.0,,2010
10IN03062,2009827655,X7655,82,X7655,09,2,,1,SC,16,X4987,82,K2898,64,,,,6,,,,0,,,,76,0501,,,,1.0,,,,0,5,,0.0,,2010
10IN03063,2009827509,X7509,82,X7509,09,2,,1,CS,11,   57,00,X3299,82,,,,1,,D,,127,188,1,,,,,14,1,1.0,,,,0,5,,0.0,,2010
10IN03064,2009827660,X7660,82,X7660,09,2,,1,SC,16,X4987,82,K3727,64,,,,1,,2,,160,209,2,,,,,14,1,1.0,,,,0,5,,0.0,,2010
10IN03065,2009827798,X7798,82,X7798,09,2,,1,SC,16,X4987,82,K3527,64,,,,1,,1,,117,170,2,,,,,14,1,1.0,,,,0,5,,0.0,,2010
10IN03066,2009827688,X7688,82,X7688,09,2,,1,SC,16,X4987,82,K4112,64,,,,1,,2,,99,154,2,,,,,15,1,1.0,,,,0,5,,0.0,,2010
10IN03067,2009827471,X7471,82,X7471,09,2,,1,SC,16,X4987,82,K3777,64,,,,1,,1,,127,179,1,,,,,14,1,1.0,,,,0,5,,0.0,,2010
10IN03068,2009827358,X7358,82,X7358,09,2,,1,S3,20, 8110,00,X4794,82,,,,6,,,,0,,,,05,0423,,,,1.0,,,,0,5,,0.0,,2010
10IN03069,2009827387,X7387,82,X7387,09,2,,1,S3,17,  625,00,X4322,82,,,,1,,2,,106,152,2,,,,,3,1,1.0,,,,0,5,,0.0,,2010
10IN03070,2009827389,X7389,82,X7389,09,2,,1,S3,17,  625,00,X4864,82,,,,1,,2,,117,164,1,,,,,4,1,1.0,,,,0,5,,0.0,,2010
10IN03071,2009827225,X7225,82,X7225,09,2,,1,S3,20, 8110,00,X3481,82,,,,1,,1,,112,139,2,,,,,3,1,1.0,,,,0,5,,0.0,,2010
10IN03072,2009827310,X7310,82,X7310,09,2,,1,S3,20, 8110,00,X5305,82,,,,1,,1,,126,165,2,,,,,4,1,1.0,,,,0,5,,0.0,,2010
10IN03073,2009827207,X7207,82,X7207,09,2,,1,S3,20, 8110,00,X3090,82,,,,1,,1,,112,141,1,,,,,4,1,1.0,,,,0,3,,0.0,,2010
