UID,YR,SEX,LAMB,LBRD,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,LB2,DB2,SB2,LB,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TRT2,X2,BRWT,ABNL,DISP,ABLMB,X3,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
60LA00091,60,1,2386,10,1,69,620,2021,10,1,,5,3,,1,07,,1,95,8,,0,4,,,,,,,0,0,1,0,5176,1,11,83,69,5,,1,10.0,2,,16,&,1,1,1,2,1,10,1960-04-04
60LA00092,60,1,2387,10,1,69,620,2021,10,1,,5,3,,1,07,,1,95,8,,0,4,,,,,,,0,0,1,0,5176,1,11,79,69,5,,1,10.2,,,,&,2,1,1,2,1,10,1960-04-04
60LA00093,60,1,2416,10,1,69,610,2023,10,1,,1,3,,1,07,,1,100,5,,0,5,,,,,,,0,0,1,0,5117,1,11,92,69,5,,1,11.6,,,,&,1,1,1,1,1,10,1960-04-09
60LA00094,60,1,2394,10,1,69,660,2027,10,1,,5,3,,1,07,,1,96,8,,0,4,,,,,,,0,0,4,0,4174,1,14,64,69,5,,1,8.8,,,,&,1,1,1,2,1,10,1960-04-05
60LA00095,60,1,2395,10,1,69,660,2027,10,1,,5,3,,1,07,,1,96,8,,0,4,,,,,,,0,0,4,0,4174,1,14,56,69,5,,1,8.6,,,,&,2,1,1,2,1,10,1960-04-05
60LA00096,60,2,2366,10,1,69,621,2028,10,1,,1,3,,1,07,,1,92,5,,0,4,,,,,,,0,0,1,0,0122,9,91,82,69,5,,1,12.2,,,,&,1,1,1,1,1,10,1960-04-01
60LA00097,60,1,2432,10,1,69,570,2031,10,1,,1,3,,1,07,,1,102,5,,0,5,,,,,,,0,0,1,0,4987,1,11,96,69,5,,1,11.2,,,,&,1,1,1,1,1,10,1960-04-11
60LA00098,60,,,10,1,69,680,2035,10,1,,,3,,,07,,,126,0,,0,2,,,,,,,0,0,4,0,4148,1,14,,69,5,,,0.0,,0,,,1,1,1,1,0,0,1960-05-05
60LA00099,60,2,2378,10,1,69,670,2037,10,1,,2,3,,1,07,,1,94,5,1,0,4,,,,9030,17,-,0,0,4,0,2928,1,14,87,69,5,,1,11.8,,,,&,1,1,1,1,1,10,1960-04-03
60LA00100,60,2,2453,10,1,69,650,2041,10,1,,1,3,,3,07,,1,105,5,,123,3,,,,,,,0,0,4,0,4184,1,14,,69,5,,,11.6,,6,,&,1,1,1,1,1,0,1960-04-14
60LA00101,60,2,2417,10,1,69,700,2047,10,1,,1,3,,1,07,,1,100,5,,0,4,,,,,,,0,0,4,0,4114,1,14,87,69,5,,1,11.4,,,,&,1,1,1,1,1,10,1960-04-09
60LA00102,60,1,2396,10,1,69,630,2048,10,1,,3,3,,1,07,,1,96,8,,0,4,,,,,,,0,0,4,0,4180,1,14,96,69,5,,1,9.4,,,,&,1,1,1,2,1,10,1960-04-05
60LA00103,60,1,2397,10,1,69,630,2048,10,1,,,3,,1,07,,1,96,8,,134,4,,,,,,,0,0,4,0,4180,1,14,,69,5,,,10.8,,6,,&,2,1,1,2,1,0,1960-04-05
60LA00104,60,1,2475,10,1,69,690,2051,10,1,,1,3,,1,07,,1,118,5,,0,4,,,,,,,0,0,4,0,4387,1,14,84,69,5,,3,13.4,,,,&,1,1,1,1,1,10,1960-04-27
60LA00105,60,2,2418,10,1,69,590,2052,10,1,,1,3,,1,07,,1,101,5,2,0,4,,,,,,,0,0,1,0,5038,1,11,90,69,5,,1,11.0,,,,&,1,1,1,1,1,10,1960-04-10
60LA00106,60,1,5240,14,1,41,410,2053,10,1,00,1,3,,1,07,,1,92,5,,0,4,,,00,,,,4,0,7,2,7166,1,17,84,69,1,,1,11.6,,,,&,1,1,1,1,1,10,1960-04-01
60LA00107,60,1,2414,10,1,69,670,2055,10,1,,5,3,,1,07,,2,100,8,3,0,4,,,,,,,0,0,4,0,2928,1,14,81,69,5,,2,11.0,,,,&,1,1,1,2,1,10,1960-04-09
60LA00108,60,1,2415,10,1,69,670,2055,10,1,,5,3,,1,07,,1,100,8,3,0,4,,,,,,,0,0,4,0,2928,1,14,80,69,5,,2,10.4,,,,&,2,1,1,2,1,10,1960-04-09
60LA00109,60,2,,10,1,69,650,2059,10,1,,,3,,,07,,,121,0,,0,2,,,,4250,61,+,0,0,4,0,4184,1,14,,69,5,,,4.4,,0,,,1,1,1,1,0,0,1960-04-30
60LA00110,60,2,2452,10,1,69,690,2061,10,1,,1,3,,1,07,,1,105,5,,0,4,,,,,,,0,0,4,0,4387,1,14,66,69,5,,1,10.6,,,,&,1,1,1,1,1,10,1960-04-14
60LA00111,60,1,2436,10,1,69,610,2072,10,1,,5,3,,1,07,,1,103,8,,0,4,,,,,,,0,0,1,0,5117,1,11,73,69,5,,2,9.0,,,,&,1,1,1,2,1,10,1960-04-12
60LA00112,60,1,2437,10,1,69,610,2072,10,1,,5,3,,1,07,,1,103,8,,0,4,,,,,,,0,0,1,0,5117,1,11,83,69,5,,2,9.8,,,,&,2,1,1,2,1,10,1960-04-12
60LA00113,60,2,2379,10,1,69,560,2073,10,1,,1,3,,1,07,,1,94,5,,0,4,,,,,,,0,0,1,0,4645,1,11,82,69,5,,1,10.8,,,,&,1,1,1,1,1,10,1960-04-03
60LA00114,60,1,2466,10,1,69,600,2075,10,1,,1,3,,1,07,,1,109,5,,0,4,,,,,,,0,0,1,0,5177,1,11,100,69,5,,2,11.0,,,,&,1,1,1,1,1,10,1960-04-18
