UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA01492,1981-04-04,1,S3509,19,,11,114,S0551,19,07,,1,,40,,1,07,,1,94,8,,0,3,,,,,,,S2922,19,0,63,11,6,1,,0,0,109,10,,,2,81
81LA01493,,,,94,1,31,706,S0559,19,07,,,,40,,,31,1,,0,,,0,,,,,,,,P8676,01,1,0,10,4,0,,0,0,,0,,,1,81
81LA01494,1981-03-26,3,X6628,79,1,00,706,S0559,19,07,,1,,40,,1,00,3,1,85,5,,0,3,,,,655879,+,,00000,00,1,73,10,0,1,,1,1,128,15,,,1,81
81LA01495,1981-04-06,1,S3659,19,1,12,911,S0563,19,07,,1,,40,,1,07,,1,96,8,,0,2,,,,,,,S2425,19,1,44,12,3,1,,1,2,065,10,,,1,81
81LA01496,1981-04-06,2,S3660,19,,12,911,S0563,19,07,,,,40,,1,07,,1,96,8,,106,2,,6,,,,,S2425,19,0,0,12,3,1,01,0,0,052,0,,,2,81
81LA01497,,,,79,1,,,S0575,19,07,,,,40,,,10,,,0,,,0,,,,,,,,00000,97,1,0,07,9,0,,0,0,,0,,,1,81
81LA01498,1981-04-03,2,S3491,19,1,12,921,S0577,19,07,,,,40,,1,07,,1,93,8,,226,3,10,7,,,,,S2491,19,1,0,12,3,1,97,1,2,072,0,,,1,81
81LA01499,1981-04-03,2,S3492,19,,12,921,S0577,19,07,,1,,40,,1,07,,1,93,8,,0,3,,,,,,,S2491,19,0,63,12,3,1,,0,0,086,10,,,2,81
81LA01500,1981-04-05,1,S3612,19,1,13,132,S0581,19,07,,,,40,,1,07,,1,95,8,,97,3,,6,,,,,S2983,19,1,0,13,6,1,01,1,2,081,0,,,1,81
81LA01501,1981-04-05,2,,19,,13,132,S0581,19,07,,,,40,,1,07,,1,95,8,,95,3,,6,,,,,S2983,19,0,0,13,6,1,01,0,0,073,0,,,2,81
81LA01502,1981-04-20,1,S3976,19,1,11,112,S0586,19,07,,1,,40,,1,07,,1,110,5,,0,3,,,,,,,S3197,19,1,89,11,6,1,,1,1,124,10,,,1,81
