UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01142,L4351,03,80,303,,,20,2.0,30,2,,0417,8,2,2,10.5,1,1,L7603,03,,0,,,4TEATS,,,1,L4278,03,30,80,107,,1,1,1,2,1,1,10,80,1,51,178,2,,,0,1991-04-17,91,0.026
91LA01143,L4351,03,80,303,,,20,2.0,30,2,,0417,8,2,2,9.2,1,1,L7604,03,,0,,,,,,2,L4278,03,30,80,107,,0,0,0,0,1,1,10,78,1,51,178,2,,,0,1991-04-17,91,0.026
91LA01144,L4364,03,82,326,,,20,2.0,30,2,,0412,8,3,1,10.6,1,1,L7160,03,,0,,,,,,1,L3918,03,30,82,102,,1,1,1,2,1,1,10,72,1,48,177,1,,,0,1991-04-12,91,0.053
91LA01145,L4364,03,82,326,,,20,2.0,30,2,,0412,8,3,3,9.4,2,1,L7161,03,,0,,,BLK.R.SIDE,,,2,L3918,03,30,82,102,,0,0,0,0,1,1,10,84,1,51,177,1,,,0,1991-04-12,91,0.053
91LA01146,L4384,03,83,333,,,20,2.0,30,2,,0414,8,3,2,7.7,1,1,L7296,03,,0,,,,,,1,L4212,03,30,83,104,,1,1,1,2,1,1,10,71,1,44,177,1,,,0,1991-04-14,91,0.037
91LA01147,L4384,03,83,333,,,20,2.0,30,2,,0414,8,3,2,9.3,1,3,L7297,03,,0,,,,,,2,L4212,03,30,83,104,,0,0,0,0,1,1,10,82,1,52,177,1,,,0,1991-04-14,91,0.037
91LA01148,L4387,03,83,334,,,20,2.0,30,2,,0408,8,2,2,9.4,1,3,L6864,03,,0,,,,,,1,L4221,03,30,83,98,,1,1,1,2,1,1,10,80,1,54,178,2,,,0,1991-04-08,91,0.067
91LA01149,L4387,03,83,334,,,20,2.0,30,2,,0408,8,2,2,10.2,1,1,L6865,03,,0,,,,,,2,L4221,03,30,83,98,,0,0,0,0,1,1,10,90,1,69,178,2,,,0,1991-04-08,91,0.067
91LA01150,L4393,03,83,331,,,20,2.0,30,2,,0418,9,3,2,5.1,1,1,L7634,03,3,109,93,,,,,1,L3943,03,30,83,108,&,1,1,1,3,1,0,0,0,0,0,0,,,,0,1991-04-18,91,0.055
91LA01151,L4393,03,83,331,,,20,2.0,30,2,,0418,9,3,2,6.5,1,1,L7635,03,,0,,,,,,2,L3943,03,30,83,108,,0,0,0,0,1,1,10,67,1,37,178,2,,,0,1991-04-18,91,0.055
