UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00811,58,1,4580,2,51,510,2166,14,2,16,1,4,,1,07,,1,112,8,,0,4,,,09,,,,3,4,14,2374,2,14,47,51,1,,,7.2,,,,,1,1,1,2,1,10,1958-04-22
58LA00812,58,1,4581,2,51,510,2166,14,2,16,1,4,,1,07,,1,112,8,,0,4,,,09,,,,,4,14,2374,2,14,68,51,1,2,,8.0,,,,,2,1,1,2,1,10,1958-04-22
58LA00813,58,2,4189,2,37,370,2167,14,2,22,1,4,,1,07,,1,94,5,,0,2,,,01,,,,2,4,14,1755,2,14,73,37,1,,,11.0,,,0,,1,1,1,1,1,10,1958-04-04
58LA00814,58,2,4437,2,35,350,2169,14,2,29,1,4,11,1,07,,1,103,5,,0,4,,,20,,,,1,4,14,3327,2,14,70,35,1,,,11.2,2,,,16,1,1,1,1,1,10,1958-04-13
58LA00815,58,,,,46,460,2171,14,2,28,1,4,,,07,,,117,-,,0,,,,24,,,,,4,14,1575,2,14,,46,1,,,0.0,,,,,1,1,0,0,0,0,1958-04-27
58LA00816,58,1,4133,2,45,450,2180,14,2,17,1,4,,1,07,,1,93,8,,0,2,,,00,,,,2,4,14,2926,2,14,56,45,1,,,7.2,,,0,,1,1,1,2,1,10,1958-04-03
58LA00817,58,2,4134,2,45,450,2180,14,2,17,1,4,,1,07,,1,93,8,,0,2,,,00,,,,,4,14,2926,2,14,68,45,1,1,,7.4,,,,,2,1,1,2,1,10,1958-04-03
58LA00818,58,2,4281,2,51,510,2187,14,2,21,1,4,,1,07,,1,98,8,,108,3,,,23,,,,,4,14,2374,2,14,,51,1,2,,8.2,,6,0,,1,1,1,2,1,0,1958-04-08
58LA00819,58,1,4282,2,51,510,2187,14,2,21,1,4,,1,07,,1,98,8,,0,3,,,23,,,,2,4,14,2374,2,14,36,51,1,1,,8.0,,,,,2,1,1,2,1,10,1958-04-08
58LA00820,58,2,4485,2,29,290,2193,14,2,13,1,4,,1,07,,1,106,8,,230,3,,,00,,,,3,4,14,3799,2,14,,29,1,,,9.2,,7,,,1,1,1,2,1,0,1958-04-16
58LA00821,58,1,4486,2,29,290,2193,14,2,13,1,4,,1,07,,1,106,8,,0,3,,,00,,,,,4,14,3799,2,14,81,29,1,2,,8.8,,,,,2,1,1,2,1,10,1958-04-16
58LA00822,58,2,2114,0,00,490,2194,14,2,,1,4,,1,00,3,1,49,5,,0,4,,,19,,,,,4,10,0000,,00,73,49,0,1,,11.2,,,,,1,1,1,1,1,10,1958-02-18
58LA00823,58,1,4584,2,82,324,2204,14,2,,1,4,,1,07,,1,113,8,,0,4,,,26,,,,1,4,14,4657,1,11,68,51,7,,,8.4,,,,,1,1,1,2,1,10,1958-04-23
58LA00824,58,2,4585,2,82,324,2204,14,2,,1,4,,1,07,,1,113,8,,0,4,,,26,,,,,4,14,4657,1,11,62,51,7,2,,8.2,,,,,2,1,1,2,1,10,1958-04-23
58LA00825,58,2,4152,2,45,450,2207,14,2,17,1,4,,1,07,,1,93,5,,0,4,,,00,,,,1,4,14,2926,2,14,78,45,1,1,,11.4,,,0,,1,1,1,1,1,10,1958-04-03
58LA00826,58,2,4224,2,35,350,2210,14,2,33,1,4,,1,07,,1,96,5,,230,2,,,26,,,,5,4,14,3327,2,14,,35,1,,,9.4,,7,1,,1,1,1,1,1,0,1958-04-06
58LA00827,58,1,4114,2,54,540,2212,14,2,15,1,4,,1,07,,1,93,8,,0,2,,,10,,,,1,4,14,2504,2,14,74,54,1,1,,9.0,,,0,,1,1,1,2,1,10,1958-04-03
58LA00828,58,1,4115,2,54,540,2212,14,2,15,1,4,,1,07,,1,93,8,,0,2,,,10,,,,,4,14,2504,2,14,57,54,1,1,,9.4,,,,,2,1,1,2,1,10,1958-04-03
58LA00829,58,2,4401,2,45,450,2217,14,2,16,1,4,,1,07,,1,102,5,,0,4,,,00,,,,5,4,14,2926,2,14,68,45,1,,,11.6,,,,,1,1,1,1,1,10,1958-04-12
58LA00830,58,1,4557,2,47,471,2226,14,2,21,1,4,,1,07,,1,109,5,,0,3,,,16,,,,3,4,14,2461,2,14,82,47,1,,,10.8,,,,,1,1,1,1,1,10,1958-04-19
58LA00831,58,2,4422,2,82,344,2230,14,2,,1,4,,1,07,,1,103,5,,0,3,,,24,,,,5,4,14,4458,1,11,74,51,7,,,8.6,,,,,1,1,1,1,1,10,1958-04-13
58LA00832,58,1,4218,2,29,290,2236,14,2,14,1,4,,1,07,,1,96,8,,0,4,,,00,,,,2,4,14,3799,2,14,83,29,1,,,11.2,,,0,,1,1,1,2,1,10,1958-04-06
58LA00833,58,1,4219,2,29,290,2236,14,2,14,1,4,,1,07,,1,96,8,,0,4,,,00,,,,,4,14,3799,2,14,65,29,1,1,,9.4,,,,,2,1,1,2,1,10,1958-04-06
58LA00834,58,2,4129,2,46,461,2238,14,2,22,1,4,,1,07,,1,93,8,,0,3,,,13,,,,5,4,14,1994,2,14,63,46,1,,,8.0,,,1,,1,1,1,2,1,10,1958-04-03
58LA00835,58,1,4130,2,46,461,2238,14,2,22,1,4,,1,07,,4,93,8,,0,3,,,13,,,,,4,14,1994,2,14,51,46,1,1,,8.2,,,,,2,1,1,2,1,10,1958-04-03
58LA00836,58,2,4223,2,45,450,2241,14,2,17,1,4,,1,07,,1,96,5,,0,2,,,00,,,,4,4,14,2926,2,14,52,45,1,,,9.4,1,,0,02,1,1,1,1,1,10,1958-04-06
