UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00235,K1265,1,06,68,00,1,2.0,7,Y,.,1,2-,10.0,3.9,,1,.,ADG,y,29.2,5.4,18.4,10.1,38.7,54
02PR00236,K1226,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,SHORT STAPLE,3,LIB,LIB,N,,,,,0.0,0
02PR00237,K1229,1,06,68,00,1,2.0,7,Y,.,1,2-,8.2,3.2,RCVR<,1,alt,ADG,y,27.4,3.9,14.1,7.3,19.4,56
02PR00238,K1288,1,05,00,00,1,2.0,0,Y,.,1,3+,8.6,3.4,,1,53,CLPG,N,,,,,0.0,0
02PR00239,K1297,1,05,00,00,1,2.0,0,Y,.,2,3-,7.8,3.1,,1,.,CLPG,N,,,,,0.0,0
02PR00240,K1814,1,06,68,01,1,1.0,7,L,SAV,1,2,8.2,3.2,"#3 BV, F2",1,.,Adg,y,28.4,5.0,17.7,9.1,33.8,54
02PR00241,K1818,1,06,68,01,1,1.0,7,L,PIN,1,3-,10.0,3.9,,1,.,Adg,y,26.6,4.9,18.4,8.3,21.2,56
02PR00242,K1806,1,06,68,01,1,1.0,7,L,PIN,1,3+,9.9,3.9,#2 BV,1,.,Adg,y,29.3,5.3,17.9,9.0,39.4,50
02PR00243,K1834,1,05,00,01,1,1.0,0,L,.,2,3,7.3,2.9,NICE,1,.,Clpg,N,,,,,0.0,0
02PR00244,K1835,1,06,68,01,1,1.0,7,L,PIN,1,3+,7.3,2.9,,1,.,Adg,y,27.3,4.4,16.0,7.9,19.8,56
02PR00245,K1836,1,06,68,01,1,1.0,7,L,PIN,2,3,7.4,2.9,,1,.,Adg,y,32.1,6.8,21.3,12.7,58.1,48
02PR00246,K1857,1,06,68,01,1,1.0,7,L,SAV,2,3-,8.9,3.5,,1,.,Adg,y,27.6,5.4,19.6,9.5,27.5,56
02PR00247,K1820,1,06,68,01,1,1.0,7,L,SAV,1,1-,8.3,3.3,"NICE,#1BV,F2+",1,.,Adg,y,25.4,4.5,17.9,8.5,13.1,58
02PR00248,K1826,1,06,68,01,1,1.0,7,L,PIN,1,3,9.4,3.7,,1,.,Adg,y,26.9,4.9,18.3,8.6,22.2,56
02PR00249,K1889,1,06,68,01,1,1.0,7,L,GRP,1,4,6.3,2.5,,1,.,Adg,y,29.0,6.0,20.6,11.4,35.4,54
02PR00250,K1891,1,06,68,01,1,1.0,7,L,PIN,1,3+,6.5,2.6,"X,THIN,4/30",1,.,Adg,y,25.7,4.9,19.1,9.6,14.4,58
02PR00251,K1919,1,06,68,01,1,1.0,7,L,GRP,1,3-,8.8,3.5,,1,.,Adg,y,27.7,5.5,20.0,10.5,27.2,56
02PR00252,K1906,1,06,68,01,1,1.0,7,L,GRP,3,3-,8.2,3.2,"NICE, SCUR2",1,.,Adg,y,27.8,4.7,16.9,8.1,26.2,56
02PR00253,K1908,1,05,00,01,1,1.0,0,L,.,2,3-,7.0,2.8,,1,.,Clpg,N,,,,,0.0,0
02PR00254,K1946,1,05,00,01,1,1.0,0,L,.,2,4,6.6,2.6,"NICE, BIG",1,.,Clpg,N,,,,,0.0,0
02PR00255,K1952,1,05,00,01,1,1.0,0,L,.,2,3+,7.9,3.1,HOG,1,.,Clpg,N,,,,,0.0,0
02PR00256,K1957,1,05,00,01,1,1.0,0,L,.,4,4-,6.6,2.6,"X, HORNS",1,.,Clpg,N,,,,,0.0,0
