UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00401,R0318,2,07,11,99,1,2.0,0,1,,.,.,7.1,2.8,,Y,1,n,x,,23.28,4.25,18.3,8.0,8.0,62
01PR00402,R0304,1,07,12,99,1,2.0,0,M,90,1,4,8.0,3.1,"JAW 4, DUD",Y,1,D3w,x,,21.27,3.63,17.1,6.5,1.7,64
01PR00403,R0305,1,07,13,99,1,2.0,0,M,31a,2,5+,11.5,4.5,"F5+, DUD",Y,1,D3,x,,21.17,4.0,18.9,7.4,2.4,64
01PR00404,R0330,2,07,12,99,1,2.0,0,1,,.,.,8.8,3.5,,Y,1,n,x,,20.79,3.56,17.1,6.7,1.2,64
01PR00405,R0338,2,07,10,99,1,2.0,0,1,,.,.,5.4,2.1,F3-,Y,1,n,x,,20.24,4.33,21.4,7.9,2.3,70
01PR00406,R0339,1,43,10,99,1,2.0,2,M,LIB,.,.,0.0,0.0,DUD,O,3,D4,x,P 30,0.0,0.0,0.0,0.0,0.0,0
01PR00407,R0340,2,43,10,99,1,2.0,0,1,,.,.,7.6,3.0,DYSTOCIA,Y,1,n,x,,22.51,3.79,16.8,7.0,3.7,62
01PR00408,R0347,2,07,12,99,1,2.0,0,1,,.,.,7.8,3.1,,Y,1,n,x,,19.42,3.66,18.8,6.7,0.6,70
01PR00409,R0355,1,43,10,99,1,2.0,0,M,e a,2,3,8.5,3.3,,Y,1,S0,x,,24.54,4.1,16.7,7.2,9.7,60
01PR00410,R0352,1,07,10,99,1,2.0,0,M,24a,3,2-,10.2,4.0,DUD >works,Y,1,D3w,x,,23.12,3.42,14.8,5.8,2.5,62
01PR00411,R0360,2,07,13,99,1,2.0,0,1,,.,.,7.7,3.0,,Y,1,n,x,,20.17,3.46,17.2,6.6,0.8,70
01PR00412,R0369,2,07,13,99,1,2.0,0,1,,.,.,8.4,3.3,,Y,1,n,x,,20.12,3.55,17.6,6.5,0.8,70
01PR00413,R0327,2,07,10,99,1,2.0,0,1,,.,.,8.2,3.2,,Y,1,n,x,,23.14,4.57,19.8,8.7,8.9,62
01PR00414,R0386,2,43,10,99,1,2.0,0,1,,.,.,7.7,3.0,,Y,1,n,x,,24.21,3.91,16.1,7.2,8.9,60
01PR00415,R0387,2,43,10,99,1,2.0,0,1,,.,.,7.1,2.8,,Y,1,n,x,,22.57,3.85,17.1,7.1,4.4,62
01PR00416,R0391,1,43,13,99,1,2.0,0,M,,2,3+,7.3,2.9,"NICE, DUDwrks",Y,1,D3w,x,,21.01,4.0,19.0,7.5,2.7,64
01PR00417,R0399,2,43,12,99,1,2.0,0,1,,.,.,8.0,3.1,DYSTOCIA,Y,1,n,x,,21.33,4.32,20.3,8.8,5.2,64
01PR00418,R0370,2,07,13,99,1,2.0,0,1,,.,.,7.4,2.9,,Y,1,n,x,,22.46,4.28,19.0,8.3,6.3,62
01PR00419,R0375,1,07,11,99,1,2.0,0,M,,1,3-,7.8,3.1,DUD >works,Y,1,D3w,x,,22.17,5.07,22.9,9.9,8.5,62
01PR00420,R0410,1,43,12,99,1,2.0,0,M,87x,.,.,0.0,0.0,"DUD, D6",N,1,D4,x,TEAZ,0.0,0.0,0.0,0.0,0.0,0
01PR00421,R0413,1,07,11,99,1,2.0,2,M,DUD,.,.,0.0,0.0,"DUD, JUMPER",O,2,D4,x,P 29,0.0,0.0,0.0,0.0,0.0,0
01PR00422,R0414,1,07,11,99,1,2.0,0,M,,1,3,9.1,3.6,DUD,Y,1,D3,x,,23.49,5.03,21.4,9.2,12.0,62
01PR00423,R0415,1,07,11,99,1,2.0,2,M,LIB,.,.,0.0,0.0,DUD,N,3,D4,x,X,0.0,0.0,0.0,0.0,0.0,0
01PR00424,R0416,2,07,11,99,1,2.0,0,1,,.,.,8.2,3.2,,Y,1,n,x,,25.61,5.14,20.1,9.5,20.4,58
01PR00425,R0418,2,07,10,99,1,2.0,0,1,,.,.,8.2,3.2,,Y,1,n,x,,25.0,4.37,17.5,8.3,14.8,58
01PR00426,R0417,2,07,10,99,1,2.0,0,1,,.,.,7.3,2.9,,Y,1,n,x,,22.98,3.94,17.2,7.5,5.8,62
01PR00427,R0402,1,07,12,99,1,2.0,0,M,88,1,3-,8.4,3.3,,Y,1,S1,x,,23.1,4.21,18.2,7.6,6.6,62
01PR00428,R0434,1,07,11,99,1,2.0,0,M,14x,.,.,0.0,0.0,"DUD, HOMO?",N,1,MO,x,X,0.0,0.0,0.0,0.0,0.0,0
01PR00429,R0438,2,07,13,99,1,2.0,0,1,,.,.,8.3,3.3,"LT,SUCK1SIDE",Y,1,n,x,,23.5,3.8,16.2,7.1,6.4,60
01PR00430,R0444,2,07,11,99,1,2.0,0,1,,.,.,8.8,3.5,,Y,1,n,x,,22.94,4.53,19.7,8.9,9.0,62
01PR00431,R0445,2,07,11,99,1,2.0,0,1,,.,.,7.4,2.9,,Y,1,n,x,,21.46,4.44,20.7,8.3,4.6,64
01PR00432,R0459,2,07,13,99,1,2.0,0,1,,.,.,9.0,3.5,,Y,1,n,x,,20.22,3.79,18.7,7.0,1.4,70
