UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00299,R3774,1,07,18,02,1,2.0,2,EXP,4,3+,9.8,3.9,,T,.,Ramb,Y,62,EXHET,+JNS+,101,101,W,,23.9,4.9,20.3,88.8,60
04PR00300,R3781,1,43,18,02,1,2.0,2,CTL,2,3+,8.7,3.4,CLOSTRIDIAL,T,.,Ramb,Y,64,BISEX,TAYLR,100,110,W,18,21.1,4.1,19.4,96.9,64
04PR00301,R3786,1,07,18,02,1,2.0,2,EXP,3,2-,8.0,3.1,,1,18,Ramb,Y,62,HETRO,SAVE,97,91,W,,22.6,4.3,19.0,94.7,62
04PR00302,R3791,1,07,18,02,1,2.0,2,EXP,3,3,8.9,3.5,NICE,1, 1,Ramb,Y,62,EXHET,+JNS+,91,104,W,,23.6,4.9,20.6,90.1,60
04PR00303,R3798,1,43,18,02,1,2.0,2,CTL,7,3+,8.8,3.5,H7,V,.,Ramb,Y,62,DUD,+JNS+,103,90,W,,22.1,3.4,15.3,98.5,62
04PR00304,R3799,1,43,18,02,1,2.0,2,EXP,3,3-,8.3,3.3,,T,.,Ramb,Y,62,HETRO,TAYLR,104,93,W,,23.0,3.3,14.5,97.8,62
04PR00305,R3800,1,07,18,02,1,2.0,2,CTL,2,3,8.5,3.3,"ABS. NECK, X",3,22,Ramb,Y,62,HETRO,MKT,96,101,W,93,21.6,3.3,15.4,99.0,64
04PR00306,R3810,1,43,18,02,1,2.0,2,CTL,1,3,9.2,3.6,,V, 5,Ramb,Y,62,EXHET,+JNS+,101,96,W,,23.9,4.3,18.2,91.3,60
04PR00307,R3819,1,07,18,02,1,2.0,2,EXP,4,3,9.3,3.7,H3,1,.,Ramb,Y,62,HETRO,SAVE,102,105,W,,24.2,5.8,24.2,84.3,60
04PR00308,R3833,1,07,18,02,1,2.0,2,CTL,1,3+,9.0,3.5,MSG 3/17/04,T,.,Ramb,Y,62,HETRO,TAYLR,97,94,W,,22.6,3.9,17.2,97.0,62
04PR00309,R3837,1,43,18,02,1,2.0,2,CTL,1,3+,8.2,3.2,NICE,V,.,Ramb,Y,64,DUD,+JNS+,101,104,W,,21.7,3.1,14.3,98.7,64
04PR00310,R3846,1,07,18,02,1,2.0,2,CTL,1,3-,8.2,3.2,,V,.,Ramb,Y,62,DUD,+JNS+,93,107,W,,21.6,4.3,20.0,95.9,64
04PR00311,R3847,1,43,18,02,1,2.0,2,EXP,3,4,8.0,3.1,"LAME,FRONTok",V,15,Ramb,Y,64,EXHET,+JNS+,111,98,W,,19.6,3.7,19.0,99.0,70
04PR00312,R3874,1,07,18,02,1,2.0,2,CTL,2,2-,9.1,3.6,CLOSTRIDIAL,T, 6,Ramb,Y,62,HETRO,TAYLR,90,94,W,18,24.1,3.9,16.2,94.2,60
04PR00313,R3885,1,07,18,02,1,2.0,2,CTL,3,5+,9.0,3.5,,1,23,Ramb,Y,62,HETRO,SAVE,108,115,W,,21.5,4.0,18.5,97.4,64
04PR00314,R3911,1,07,18,02,1,2.0,2,EXP,7,4+,8.9,3.5,H7,3,13,Ramb,Y,64,HETRO,MKT,87,91,W,93,22.4,3.0,13.2,99.2,62
04PR00315,R3948,1,07,18,02,1,2.0,2,CTL,1,3,9.0,3.5,CLOSTRIDIAL,T, 7,Ramb,Y,62,HETRO,TAYLR,103,104,W,18,25.4,4.1,16.0,90.1,58
04PR00316,R4061,1,07,18,03,1,1.0,0,.,3,3+,6.5,2.6,H3,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,20.7,3.4,16.4,99.3,64
04PR00317,R4067,1,07,18,03,1,1.0,0,.,2,3-,8.0,3.1,,1,.,Ramb,Y,62,YRLG,SAVE,0,0,0,,22.5,4.1,18.1,96.4,62
04PR00318,R4068,1,07,18,03,1,1.0,0,.,1,4+,7.2,2.8,NICE,1,.,Ramb,Y,64,YRLG,SAVE,0,0,0,,19.6,3.8,19.4,99.4,70
