UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00136,K3543,1,06,68,05,1,1.0,0,R,.,1,3+,6.4,2.5,,1,.,Adg,Y,00,26.4,4.8,18.2,80.2,56
06PR00137,K3557,1,06,68,05,1,1.0,0,R,.,1,3+,8.0,3.1,,1,.,Adg,Y,00,25.0,5.0,20.2,86.4,58
06PR00138,K3565,1,06,68,05,1,1.0,0,R,.,1,3+,6.3,2.5,NICE,1,.,Adg,Y,00,25.3,4.2,16.5,89.6,58
06PR00139,K3525,1,06,68,05,1,1.0,0,R,.,2,3,6.3,2.5,,1,.,Adg,Y,00,25.8,4.4,17.1,85.4,58
06PR00140,K3574,1,06,68,05,1,1.0,0,R,.,1,3,6.6,2.6,,1,.,Adg,Y,00,25.0,3.9,15.7,92.4,58
06PR00141,K3577,1,06,68,05,1,1.0,0,R,.,2,3+,6.2,2.4,NICE LAMB,1,.,Adg,Y,00,24.1,4.1,16.9,93.4,60
06PR00142,K3216,1,06,68,04,1,2.0,0,.,.,1,3,7.9,3.1,NICE LAMB,1,.,Adg,Y,00,29.9,5.6,18.7,58.5,50
06PR00143,K3236,1,06,68,05,1,1.0,0,R,.,2,3+,7.0,2.8,,1,.,Adg,Y,00,27.3,4.9,18.0,76.2,56
06PR00144,K3248,1,06,68,05,1,1.0,0,R,.,1,3,7.4,2.9,,1,.,Adg,Y,00,26.5,4.3,16.4,83.2,56
06PR00145,K3249,1,06,68,05,1,1.0,0,R,.,1,3,5.9,2.3,NICE LAMB,1,.,Adg,Y,00,25.7,4.8,18.7,84.3,58
06PR00146,K3288,1,06,68,05,1,1.0,0,R,.,1,2,6.6,2.6,,1,.,Adg,Y,00,26.2,4.8,18.3,83.2,58
06PR00147,K3271,1,06,68,05,1,1.0,0,R,.,1,3+,7.2,2.8,,1,.,Adg,Y,00,25.6,3.9,15.3,89.1,58
06PR00148,K3276,1,06,68,05,1,1.0,0,R,.,3,2-,6.2,2.4,,1,.,Adg,Y,00,24.9,4.2,16.8,91.2,60
06PR00149,K3272,1,06,68,05,1,1.0,0,R,.,1,3+,6.6,2.6,BIG,1,.,Adg,Y,00,24.8,4.0,15.9,92.5,60
06PR00150,K3277,1,06,68,05,1,1.0,0,R,.,1,3,7.5,3.0,ENTROPION,1,.,Adg,Y,00,27.5,4.8,17.4,75.3,56
06PR00151,K2348,1,06,68,02,1,4.0,0,.,.,2,2+,8.6,3.4,epd KEEP Ytex,1,.,Adg,N,00,,,,,0
06PR00152,K2368,1,06,68,02,1,4.0,0,.,.,1,2-,9.0,3.5,epd KEEP,1,.,Adg,N,00,,,,,0
06PR00153,K2812,1,06,68,03,1,3.0,0,.,.,1,3-,9.0,3.5,F4,1,.,Adg,N,00,,,,,0
06PR00154,K2842,1,06,68,03,1,3.0,0,.,.,1,3+,9.1,3.6,,1,.,Adg,N,00,,,,,0
06PR00155,K2909,1,06,68,03,1,3.0,0,.,.,3,3+,8.5,3.3,NICE,1,.,Adg,N,00,,,,,0
06PR00156,K2959,1,06,68,03,1,3.0,0,.,.,1,2-,7.8,3.1,,1,.,Adg,N,00,,,,,0
06PR00157,K2787,1,06,68,03,1,3.0,0,.,.,2,3,9.5,3.7,NICE,1,.,Adg,N,00,,,,,0
06PR00158,K2771,1,06,68,03,1,3.0,0,.,.,2,2,8.2,3.2,,1,.,Adg,N,00,,,,,0
06PR00159,N4102,1,97,00,04,1,2.0,r,1,.,.,.,0.0,0.0,IA1428-0330,1,16,Term,.,00,,,,,0
06PR00160,R3176,1,07,18,02,1,4.0,0,.,EXP,3,3,9.2,3.6,NICE,1,.,Ramb,N,00,,,,,0
06PR00161,R3321,1,43,18,02,1,4.0,0,.,EXP,3,4,7.1,2.8,+WOOL,1,.,Ramb,N,00,,,,,0
06PR00162,R4146,1,07,18,03,1,3.0,0,.,.,1,3+,9.6,3.8,,1,.,Ramb,N,00,,,,,0
